detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
M8-2,0.155818975659309,0.027852776748025,residential,Don-Bosco-Platz,30,augsburg,1,472,10.9248854,48.3576775
M8-4,0.108423818004774,0.049587583354144,tertiary,Alter Heuweg,50,augsburg,1,474,10.9258899,48.357281
M8-24,0.104224605762355,0.057790561438176,tertiary,Alter Heuweg,50,augsburg,1,475,10.9257088,48.3571838
M8-25,0.156293400624325,0.143105106476333,residential,Wilhelm-Hauff-Straße,30,augsburg,1,467,10.9248318,48.3570662
M8-7,0.103162610263657,0.012624150580184,residential,Wilhelm-Hauff-Straße,30,augsburg,1,468,10.9249404,48.3569842
M8-5,0.101639078401142,0.011183787270168,residential,Wilhelm-Hauff-Straße,30,augsburg,1,470,10.9250396,48.3569887
M8-6,0.104093487911641,0.022579657697315,residential,Wilhelm-Hauff-Straße,30,augsburg,1,469,10.924986,48.3568978
M8-1,0.137778709045304,0.036187504844764,tertiary,Alter Heuweg,50,augsburg,1,465,10.9241223,48.3571812
M9-24,0.113227872438032,0.086683012449985,residential,Heinestraße,30,augsburg,1,476,10.9271143,48.3571927
M9-2,0.110084696491492,0.022694367807228,residential,Heinestraße,30,augsburg,1,477,10.9270983,48.35724
M9-20,0.108423818004774,0.095653386404637,tertiary,Alter Heuweg,50,augsburg,1,474,10.9264974,48.3572079
M9-1,0.104224605762355,0.038387223812086,tertiary,Alter Heuweg,50,augsburg,1,475,10.9259704,48.357191
M9-25,0.184300095173834,0.172220151880024,tertiary,Alter Heuweg,50,augsburg,1,388,10.9267026,48.3568568
M9-3,0.196026349938155,0.030113972236025,tertiary,Alter Heuweg,50,augsburg,1,390,10.9269373,48.3566643
E3-2,0.851102470389799,0.023461647299163,primary,Friedberger Straße,50,augsburg,1,385,10.9266691,48.3551484
E3-1,0.849957767501726,0.0236492272114,primary,Friedberger Straße,50,augsburg,1,386,10.9266678,48.3551181
E3-8,0.058185238029924,0.010824722817737,residential,Spickelstraße,30,augsburg,1,392,10.9273195,48.3549256
E3-7,0.056604432604607,0.010206431848371,residential,Spickelstraße,30,augsburg,1,391,10.9273584,48.3549337
E3-5,0.526224062033595,0.031543443057896,primary,Friedberger Straße,50,augsburg,1,393,10.9282207,48.3552402
E3-6,0.52406524013292,0.0318311115881,primary,Friedberger Straße,50,augsburg,1,394,10.9282234,48.3552082
E3-4,0.095463403703155,0.013347767278246,tertiary,Alter Heuweg,50,augsburg,1,389,10.9271935,48.355463
E3-3,0.184300095173834,0.031146990731553,tertiary,Alter Heuweg,50,augsburg,1,388,10.9271103,48.3556217
E4-6,0.05830799096837,0.027059102258129,primary,Berliner Allee,50,augsburg,1,404,10.9349853,48.3555949
E4-4,0.058181795905525,0.016457630071711,primary,Berliner Allee,50,augsburg,1,403,10.9349142,48.3555076
E4-5,1.0073465217147,0.018753686062151,primary,Berliner Allee,50,augsburg,1,405,10.9349611,48.3555085
E4-9,0.11123887007303,0.016961924407567,residential,Am Eiskanal,30,augsburg,1,402,10.935342,48.3548116
E4-2,0.535136482316786,0.02360694448628,primary,Friedberger Straße,50,augsburg,1,396,10.9343965,48.3551048
E4-1,0.540394840836938,0.025081928882048,primary,Friedberger Straße,50,augsburg,1,397,10.9343925,48.3550727
E4-3,0.050240260023586,0.016001946811259,primary,Friedberger Straße,50,augsburg,1,395,10.9344931,48.3551244
E4-10,0.23364431427255,0.191367706181485,primary,Friedberger Straße,50,augsburg,1,398,10.9357296,48.3551048
E4-11,0.232386736516547,0.18938419375155,primary,Friedberger Straße,50,augsburg,1,399,10.9357309,48.3550789
E4-8,0.231401961761919,0.031842050501079,primary,Friedberger Straße,50,augsburg,1,401,10.9357631,48.355201
E4-7,0.235011835395854,0.019677605891709,primary,Friedberger Straße,50,augsburg,1,400,10.9355941,48.3552349
E5-1,0.232386736516547,0.024950806286251,primary,Friedberger Straße,50,augsburg,1,399,10.9379451,48.3550344
E5-2,0.23364431427255,0.040754141739612,primary,Friedberger Straße,50,augsburg,1,398,10.937756,48.3550647
E5-3,0.212953286042055,0.037286632177869,primary,Friedberger Straße,50,augsburg,1,406,10.9393211,48.3551484
E5-4,0.618687353577425,0.024799489563424,residential,Oberländer Straße,30,augsburg,1,407,10.9385513,48.3547367
6-3,0.253481545646075,0.017012622913293,primary,Berliner Allee,50,augsburg,1,411,10.929417,48.364014
6-1,1.01691582013545,0.018701679932675,primary,Berliner Allee,50,augsburg,1,408,10.9299789,48.3634616
12-2,0.149539723929326,0.009912200553643,primary,Berliner Allee,50,augsburg,1,413,10.9274469,48.366147
12-2a,0.594466125318324,0.031079409404798,primary,Berliner Allee,50,augsburg,1,412,10.927337,48.3663377
12-1a,0.075555477332521,0.017826191342499,primary,Berliner Allee,50,augsburg,1,410,10.9280115,48.3656535
12-1,0.264448013265236,0.042628479363519,primary,Berliner Allee,50,augsburg,1,409,10.928206,48.3654762
F6-41,0.154159859896439,0.026910088445662,primary_link,,50,augsburg,1,415,10.923893,48.3705831
F6-42,0.609510701023248,0.027561958175509,primary_link,,50,augsburg,1,414,10.9238648,48.3705644
F6-14,0.068654302294084,0.02421910218209,secondary,Amagasaki-Allee,50,augsburg,1,418,10.9229623,48.3705127
F6-11,0.048658151350808,0.024670556635685,secondary,Amagasaki-Allee,50,augsburg,1,419,10.9230602,48.3704495
F6-13,0.192599021718395,0.029020291327623,secondary,Amagasaki-Allee,50,augsburg,1,420,10.9229435,48.3704521
F6-12,0.192977728085584,0.029762164805533,secondary,Amagasaki-Allee,50,augsburg,1,421,10.9229703,48.3704352
F6-23,0.128308557454889,0.030193844915369,primary_link,,50,augsburg,1,538,10.9228416,48.3710552
F6-22,0.17910792423587,0.029441651024154,primary_link,,50,augsburg,1,539,10.9228121,48.371033
F6-21,0.059605600338216,0.02975890541693,primary_link,,50,augsburg,1,540,10.9227785,48.3710107
F6-34,0.04356398902352,0.025666116817481,secondary,Amagasaki-Allee,50,augsburg,1,537,10.9238072,48.3711551
F6-33,0.819636444258025,0.020632078291809,secondary,Amagasaki-Allee,50,augsburg,1,535,10.9237522,48.3711524
F6-32,0.550415473548163,0.020292817132963,secondary,Amagasaki-Allee,50,augsburg,1,534,10.9237253,48.3711648
F6-31,0.032160175140553,0.022622837888628,secondary,Amagasaki-Allee,50,augsburg,1,536,10.9237159,48.3711925
R8-31,0.198127066194804,0.039712263087957,secondary,Amagasaki-Allee,50,augsburg,1,416,10.9217513,48.3697911
R8-32,0.203410269082554,0.040092306821442,secondary,Amagasaki-Allee,50,augsburg,1,417,10.9217915,48.3697706
R8-11,0.199706303165131,0.028222778153229,secondary,Amagasaki-Allee,50,augsburg,1,423,10.9211048,48.3692387
R8-12,0.200443182444078,0.028842505076628,secondary,Amagasaki-Allee,50,augsburg,1,424,10.9211304,48.36922
R7-12,0.22965502493466,0.031129150115629,secondary,Amagasaki-Allee,50,augsburg,1,428,10.9186842,48.3678791
R7-11,0.232216551772836,0.031432616712249,secondary,Amagasaki-Allee,50,augsburg,1,429,10.9187217,48.3678622
R7-33,0.084281760122248,0.02604106142871,secondary,Amagasaki-Allee,50,augsburg,1,422,10.9196793,48.3684725
R7-32,0.199371351734705,0.032689922125714,secondary,Amagasaki-Allee,50,augsburg,1,426,10.9197168,48.3685277
R7-31,0.197188092921672,0.031518094888235,secondary,Amagasaki-Allee,50,augsburg,1,425,10.9196873,48.3685518
R6-22,0.077354333966418,0.022123258972739,other,Hanreiweg,30,augsburg,1,433,10.9158638,48.3670986
R6-21,0.082652788747033,0.02350482382926,other,Hanreiweg,30,augsburg,1,432,10.9158665,48.3670523
R6-11,0.16989755728358,0.025413038788566,secondary,Nagahama-Allee,50,augsburg,1,437,10.9158826,48.3665543
R6-12,0.16782688286713,0.029984727285608,secondary,Nagahama-Allee,50,augsburg,1,436,10.9157793,48.3665525
R6-42,0.041834881591921,0.021120500703494,other,Hanreiweg,50,augsburg,1,438,10.9168817,48.3666095
R6-41,0.238136549922984,0.020461185306069,other,Hanreiweg,50,augsburg,1,439,10.9169059,48.3666335
R6-31,0.063290945775664,0.02790669378688,secondary,Amagasaki-Allee,50,augsburg,1,427,10.9167852,48.367071
R6-32,0.252951838721298,0.033597456503196,secondary,Amagasaki-Allee,50,augsburg,1,430,10.9168965,48.3670924
R6-33,0.252238438385151,0.03167612795397,secondary,Amagasaki-Allee,50,augsburg,1,431,10.9169166,48.3670675
R5-31,0.168671764019326,0.032646616114474,secondary,Nagahama-Allee,50,augsburg,1,434,10.9145589,48.3662264
R5-32,0.173193347884993,0.033934418974863,secondary,Nagahama-Allee,50,augsburg,1,435,10.9145871,48.3662005
R5-11,0.349739497680907,0.024759744028691,secondary,Nagahama-Allee,50,augsburg,1,440,10.9138535,48.3658557
R5-12,0.347947576814511,0.024519848263282,secondary,Nagahama-Allee,50,augsburg,1,441,10.9138696,48.3658397
R4-41,0.162924078387153,0.031258532206871,residential,Oberbürgermeister-Hohner-Straße,50,augsburg,1,445,10.9106147,48.3641931
R4-31,0.116174256005136,0.025612817042372,secondary,Nagahama-Allee,50,augsburg,1,442,10.9102111,48.3647179
R4-32,0.35233532062318,0.035955055436472,secondary,Nagahama-Allee,50,augsburg,1,443,10.9103572,48.3647598
R4-33,0.349390422960088,0.035177053082524,secondary,Nagahama-Allee,50,augsburg,1,444,10.9103934,48.3647437
R4-23,0.041085092631567,0.020738614791459,residential,Oberbürgermeister-Dreifuß-Straße,50,augsburg,1,446,10.909452,48.364456
R4-22,0.135841956775249,0.021159046841112,residential,Oberbürgermeister-Dreifuß-Straße,50,augsburg,1,447,10.9094386,48.3644328
R4-21,0.136064784495084,0.020563938857751,residential,Oberbürgermeister-Dreifuß-Straße,50,augsburg,1,448,10.9094171,48.3644034
R4-11,0.045484441343315,0.025159361087804,secondary,Nagahama-Allee,50,augsburg,1,450,10.9099093,48.3638795
R4-12,0.902090343254418,0.031363351026583,secondary,Nagahama-Allee,50,augsburg,1,451,10.9098583,48.3638251
R4-13,0.90474846772463,0.033600789035473,secondary,Nagahama-Allee,50,augsburg,1,452,10.9098208,48.3638269
R4-14,0.116009799178463,0.027566448138961,secondary,Nagahama-Allee,50,augsburg,1,449,10.9097832,48.3638768
D1-12,0.108125158755732,0.021660320382766,secondary_link,Amagasaki-Allee,50,augsburg,1,532,10.9278332,48.3747337
D1-11,0.560539588381791,0.020892887882283,secondary_link,Amagasaki-Allee,50,augsburg,1,531,10.9278667,48.3747212
D1-10,0.125431037472586,0.020825814269068,secondary_link,Amagasaki-Allee,50,augsburg,1,533,10.9279016,48.3747061
D1-6,0.037143816917096,0.017462291689211,tertiary,Blücherstraße,50,augsburg,1,544,10.9286861,48.375017
D1-7,0.109584617677815,0.017346657137921,tertiary,Blücherstraße,50,augsburg,1,545,10.9286794,48.3749876
D1-8,0.115808408458043,0.019378692961645,tertiary,Blücherstraße,50,augsburg,1,546,10.9286593,48.3749662
D1-9,0.115441631962233,0.016945522740351,tertiary,Blücherstraße,50,augsburg,1,547,10.9286284,48.3749395
