detid_Y,ess101o,ess101w,esss037n,esss037s,esss038o,esss038w,esss050n,esss050s,esss051n,esss051s,esss052n,esss052s,esss053n,esss053s,esss088n,esss088s,esss090n,esss090s,esss092n,esss092s,esss093n,esss093s,esss094n,esss094s,esss095n,esss095s,esss097o,esss097w,esss098n,esss098s,esss102n,esss102s,esss926o,esss926w,esss928o,esss928w,esss943o,esss943w
esss088s,7371.91,7001.39,5030.56,4884.06,5324.90,5324.90,1883.39,1844.72,1520.18,1452.93,3763.59,3763.59,4577.77,4685.57,12.86,0.00,3772.46,3772.46,3738.09,3556.32,4214.58,4214.58,2953.18,3036.40,2813.81,2813.81,2221.66,2406.15,4081.71,4081.71,5047.11,5071.71,2304.04,2304.04,2517.98,2382.62,3953.30,3873.05
esss090n,4155.13,3784.61,3104.42,2957.92,4206.03,4206.03,3114.68,3076.01,2181.93,2428.22,2071.59,2071.59,3743.52,3654.34,3689.24,3702.10,0.00,0.00,1673.30,1375.66,2193.07,2193.07,1771.20,1858.62,1206.08,1206.08,1506.49,1317.51,1132.09,1132.09,2610.63,2601.98,1941.53,1941.53,2668.19,2813.60,1772.64,1692.39
esss090s,4155.13,3784.61,3104.42,2957.92,4206.03,4206.03,3114.68,3076.01,2181.93,2428.22,2071.59,2071.59,3743.52,3654.34,3689.24,3702.10,0.00,0.00,1673.30,1375.66,2193.07,2193.07,1771.20,1858.62,1206.08,1206.08,1506.49,1317.51,1132.09,1132.09,2610.63,2601.98,1941.53,1941.53,2668.19,2813.60,1772.64,1692.39
esss092n,4437.77,4067.24,1985.02,1838.52,2866.68,2866.68,1871.70,1910.37,2500.36,2746.65,732.25,732.25,2404.18,2315.00,3620.15,3633.02,1180.38,1180.38,0.00,36.32,816.27,816.27,1259.97,769.68,1181.70,1181.70,1824.92,1635.94,2312.47,2312.47,1995.38,2019.98,1430.29,1430.29,1328.85,1474.26,1033.84,953.58
esss092s,4436.89,4066.37,1948.70,1802.20,2830.37,2830.37,1835.39,1874.06,2484.79,2731.08,695.93,695.93,2367.86,2278.68,3604.59,3617.45,1164.81,1164.81,297.64,0.00,817.41,817.41,1244.40,754.12,1166.14,1166.14,1809.35,1620.37,2296.90,2296.90,1996.52,2021.12,1414.72,1414.72,1292.53,1437.94,1018.27,938.02
esss093n,4284.68,3914.16,1564.00,1417.50,2460.84,2460.84,2254.74,2293.40,3135.85,3382.15,694.92,694.92,1998.33,1909.15,4130.78,4143.64,2000.43,2000.43,1007.69,859.72,0.00,0.00,1877.92,1239.10,1821.50,1821.50,2460.42,2255.36,3056.96,3056.96,1842.30,1866.90,2048.24,2048.24,1711.88,1857.29,1035.89,977.73
esss093s,4284.68,3914.16,1564.00,1417.50,2460.84,2460.84,2254.74,2293.40,3135.85,3382.15,694.92,694.92,1998.33,1909.15,4130.78,4143.64,2000.43,2000.43,1007.69,859.72,0.00,0.00,1877.92,1239.10,1821.50,1821.50,2460.42,2255.36,3056.96,3056.96,1842.30,1866.90,2048.24,2048.24,1711.88,1857.29,1035.89,977.73
esss094n,5084.84,4714.32,2161.63,2015.13,3043.29,3043.29,1649.24,1687.91,2163.72,2410.01,894.66,894.66,2580.79,2491.61,3265.97,3278.83,1796.81,1796.81,869.15,905.47,1345.65,1345.65,0.00,163.79,849.37,849.37,1488.28,1283.22,2915.61,2915.61,2760.03,2784.64,1076.10,1076.10,1106.38,1251.80,1666.22,1585.97
esss094s,4921.04,4550.52,2271.29,2124.79,3152.95,3152.95,1758.90,1797.57,1999.92,2246.22,1004.32,1004.32,2690.45,2601.27,3102.18,3115.04,1633.02,1633.02,978.81,755.78,1455.31,1455.31,741.99,0.00,685.58,685.58,1324.49,1119.43,2751.82,2751.82,2596.24,2620.84,912.31,912.31,1216.04,1361.46,1502.43,1422.18
esss095n,4909.66,4539.14,2726.75,2580.25,3608.41,3608.41,1908.59,1869.92,1325.29,1571.58,1459.78,1459.78,3145.90,3056.73,2832.60,2845.46,1192.82,1192.82,1391.70,1094.06,1910.77,1910.77,565.12,728.91,0.00,0.00,649.85,460.87,2066.24,2066.24,2584.86,2609.46,735.44,735.44,1671.50,1673.67,1491.04,1410.79
