detid_Y,N06111V,N06112W,N06113Y,N06114Z,N06121A,N06121L,N06121M,N06121N,N06131T,N06131V,N06131W,N06131X,N06141A,N06141C,N06141Y,N06151D,N06151F,N06151G,N06161Q,N06161R,N06161T,N06161U,N06171B,N06171P,N06171Q,N06171R,N06171S,N06181H,N06181J,N06181K,N06191N,N06191P,N06191Z,N06211C,N06211E,N06211F,N06211G,N06221P,N06221Q,N06221R,N06222H,N06222K,N06222L,N06222M,N06241A,N06241B,N06241Y,N06242Z,N06251T,N06251V,N06251W,N06251X,N06252D,N06252E,N06252F,N06261V,N06261Y,N06261Z,N06271G,N06271H,N06271K,N06271L,N06281M,N06281P,N06281R,N06281S,N06291B,N06291E,N06291F,N06311J,N06311K,N06311L,N06311N,N06312M,N06312P,N06321B,N06321C,N06321D,N06321E,N06321L,N06322G,N06331A,N06331J,N06331X,N06331Y,N06331Z,N06341K,N06341S,N06341T,N06351L,N06351M,N06351P,N06351R,N06391B,N06391Y,N06391Z,N06411H,N06411J,N06411K,N06421A,N06421B,N06421D,N06421E,N06421F,N06421G,N06431X,N06431Y,N06431Z,N06451L,N06451P,N06451R,N06451S,N06461E,N06461T,N06471H,N06481L,N06481N,N06481P,N06481S,N06482F,N06482J,N06482K,N06511A,N06511B,N06511C,N06521E,N06521F,N06521G,N06521H,N06551T,N06611A,N06611E,N06611F,N06611G,N06611J,N06621A,N06621B,N06621C,N06621D,N06631X,N06631Y,N06631Z,N06691R,N06691S,N06691T,N06691U,N06691V,N06731W,N06731X,N06731Y,N06731Z,N26151X,N29111A,N29111R,N29111S,N29111T,N29111V,N29111W,N29112Q,N29113R,N29121G,N29121J,N29121M,N29121N,N29121P,N29121Z,N29131B,N29131C,N29131E,N29131F,N29141A,N29142H,N31111S,N31111U,N31111W,N31122B,N36121V,N41111D,N41111E,N41111F,N41121B
N06211E,1354.67,1158.91,1238.23,1079.95,1996.77,1996.77,2097.21,2168.60,1968.37,2141.96,2366.63,1804.26,2111.75,1921.06,2078.26,1840.21,1641.75,1907.89,1500.23,1500.23,1293.63,1560.49,2028.15,2028.15,2112.71,2112.71,2078.26,1670.37,1670.37,1513.74,1409.08,1591.16,1809.19,270.25,0.00,498.79,302.71,51.48,383.90,266.44,293.75,189.29,95.12,156.24,0.00,386.43,358.01,358.01,619.06,448.00,793.85,574.49,432.68,486.22,532.48,2084.26,2241.32,2210.33,1118.06,1034.73,971.23,1048.66,888.06,724.86,396.96,690.97,1158.91,916.61,1157.52,2359.01,2301.02,2229.17,2359.01,2229.17,2229.17,2625.32,2359.01,2499.05,2495.16,2499.05,2051.05,2475.56,2760.97,2677.56,2755.16,2475.56,2807.13,2956.10,2683.05,3469.61,2994.55,2771.64,2897.30,2460.58,2104.84,2554.60,3469.61,3263.17,2946.62,3469.61,2738.92,3263.17,3469.61,3469.61,3469.61,2738.92,3469.61,2738.92,2868.67,2868.67,2738.92,2738.92,2868.67,2851.31,2424.24,2868.67,3007.92,3007.92,2868.67,2868.67,2868.67,2868.67,2851.31,2738.92,2738.92,2738.92,2738.92,2738.92,2738.92,3007.92,2851.31,3097.64,2868.67,2851.31,2868.67,3265.74,3097.64,2868.67,2868.67,3338.56,3097.64,3177.97,3097.64,3265.74,3265.74,3280.15,3097.64,3097.64,3478.27,3280.15,3007.92,3478.27,3356.37,3478.27,3356.37,3294.52,3306.95,3033.15,3356.37,3376.84,3478.27,3280.15,3356.37,3478.27,3478.27,3280.15,3478.27,3280.15,3478.27,3478.27,3478.27,3478.27,3478.17,3478.17,3399.13,3801.88,3365.30,2838.90,2677.56,2963.79,2897.32
N06211F,1495.39,1299.62,1378.95,1220.66,2137.49,2137.49,1923.63,2116.13,2109.09,2282.68,2507.35,1944.98,2252.47,2061.78,2218.98,1980.93,1782.47,2048.61,1640.94,1640.94,1434.35,1461.42,2168.87,2168.87,2253.43,2253.43,2218.98,1811.09,1811.09,1654.45,1549.80,1731.88,1870.21,462.97,542.96,0.00,291.04,544.98,877.40,759.94,486.47,682.79,588.61,348.96,542.96,406.88,682.46,682.46,759.78,772.45,1003.14,729.11,757.13,810.68,856.93,2200.48,2026.26,2157.87,1258.78,1175.45,917.57,1189.38,1028.78,1049.31,721.41,687.86,1299.62,1057.33,1298.23,2499.73,2441.74,2369.89,2499.73,2369.89,2369.89,2722.82,2499.73,2575.51,2442.70,2575.51,2191.76,2573.06,2858.47,2775.07,2852.67,2573.06,2904.63,2916.58,2780.55,3517.39,2994.78,2869.15,2736.51,2785.03,2245.56,2695.32,3517.39,3310.95,2946.86,3517.39,2523.86,3310.95,3517.39,3517.39,3517.39,2523.86,3517.39,2523.86,2653.61,2653.61,2523.86,2523.86,2653.61,2636.25,2521.74,2653.61,2792.86,2792.86,2653.61,2653.61,2653.61,2653.61,2636.25,2523.86,2523.86,2523.86,2523.86,2523.86,2523.86,2792.86,2636.25,2882.58,2653.61,2636.25,2653.61,3050.68,2882.58,2653.61,2653.61,3123.50,2882.58,2962.91,2882.58,3050.68,3050.68,3065.09,2882.58,2882.58,3263.21,3065.09,2792.86,3263.21,3141.31,3263.21,3141.31,3079.46,3091.89,2818.09,3141.31,3161.78,3263.21,3065.09,3141.31,3263.21,3263.21,3065.09,3263.21,3065.09,3263.21,3263.21,3263.21,3263.21,3525.95,3525.95,3446.91,3849.66,3413.08,2979.62,2775.07,3061.29,2994.82
N06211G,1246.35,1050.58,1129.91,971.62,1888.45,1888.45,1835.98,2028.49,1860.05,2033.64,2258.31,1695.94,2003.42,1812.74,1969.94,1731.89,1533.43,1799.57,1391.90,1391.90,1185.31,1373.77,1919.83,1919.83,2004.39,2004.39,1969.94,1562.04,1562.04,1405.41,1300.76,1482.84,1700.86,266.89,346.87,291.04,0.00,348.90,681.31,563.86,290.39,486.70,392.53,152.87,346.87,182.06,486.38,486.38,510.74,576.37,754.10,480.07,561.05,614.59,660.85,1975.93,1938.61,2070.22,1009.74,926.41,668.52,940.34,779.74,853.22,525.33,438.82,1050.58,808.29,1049.19,2250.69,2192.70,2120.85,2250.69,2120.85,2120.85,2517.00,2250.69,2390.72,2355.05,2390.72,1942.72,2367.24,2652.65,2569.24,2646.84,2367.24,2698.80,2828.93,2574.72,3361.29,2886.23,2663.32,2648.86,2552.78,1996.52,2446.28,3361.29,3154.85,2838.30,3361.29,2436.21,3154.85,3361.29,3361.29,3361.29,2436.21,3361.29,2436.21,2565.96,2565.96,2436.21,2436.21,2565.96,2548.60,2315.92,2565.96,2705.22,2705.22,2565.96,2565.96,2565.96,2565.96,2548.60,2436.21,2436.21,2436.21,2436.21,2436.21,2436.21,2705.22,2548.60,2794.93,2565.96,2548.60,2565.96,2963.03,2794.93,2565.96,2565.96,3035.86,2794.93,2875.26,2794.93,2963.03,2963.03,2977.45,2794.93,2794.93,3175.57,2977.45,2705.22,3175.57,3053.66,3175.57,3053.66,2991.81,3004.25,2730.44,3053.66,3074.13,3175.57,2977.45,3053.66,3175.57,3175.57,2977.45,3175.57,2977.45,3175.57,3175.57,3175.57,3175.57,3369.85,3369.85,3290.81,3693.56,3256.98,2730.58,2569.24,2855.46,2789.00
N06221P,1368.83,1173.07,1252.39,1094.10,2010.93,2010.93,2111.37,2182.76,1982.53,2156.12,2380.79,1818.42,2125.91,1935.22,2092.42,1854.37,1655.91,1922.05,1514.39,1514.39,1307.79,1574.65,2042.31,2042.31,2126.87,2126.87,2092.42,1684.53,1684.53,1527.89,1423.24,1605.32,1823.35,333.87,63.62,562.41,366.33,0.00,332.42,214.96,357.37,137.81,158.74,219.86,63.62,450.05,372.17,372.17,633.22,462.16,808.01,588.65,446.84,500.38,546.64,2098.41,2272.63,2224.49,1132.22,1048.89,1034.85,1062.82,902.22,739.01,411.12,705.13,1173.07,930.77,1171.68,2373.17,2315.18,2243.33,2373.17,2243.33,2243.33,2639.48,2373.17,2513.21,2509.32,2513.21,2065.20,2489.72,2775.13,2691.72,2769.32,2489.72,2821.28,2970.26,2697.20,3483.77,3008.71,2785.80,2911.45,2474.74,2119.00,2568.76,3483.77,3277.33,2960.78,3483.77,2802.53,3277.33,3483.77,3483.77,3483.77,2802.53,3483.77,2802.53,2932.29,2932.29,2802.53,2802.53,2932.29,2914.93,2438.40,2932.29,3071.54,3071.54,2932.29,2932.29,2932.29,2932.29,2914.93,2802.53,2802.53,2802.53,2802.53,2802.53,2802.53,3071.54,2914.93,3161.26,2932.29,2914.93,2932.29,3329.36,3161.26,2932.29,2932.29,3402.18,3161.26,3241.58,3161.26,3329.36,3329.36,3343.77,3161.26,3161.26,3541.89,3343.77,3071.54,3541.89,3419.99,3541.89,3419.99,3358.14,3370.57,3096.77,3419.99,3440.45,3541.89,3343.77,3419.99,3541.89,3541.89,3343.77,3541.89,3343.77,3541.89,3541.89,3541.89,3541.89,3492.33,3492.33,3413.29,3816.04,3379.46,2853.06,2691.72,2977.94,2911.48
N06221Q,1682.32,1486.56,1565.89,1407.60,2324.43,2324.43,2424.87,2496.25,2296.03,2469.61,2694.28,2131.91,2439.40,2248.72,2405.91,2167.86,1969.40,2235.55,1827.88,1827.88,1621.28,1888.14,2355.81,2355.81,2440.37,2440.37,2405.91,1998.02,1998.02,1841.39,1736.74,1918.81,2136.84,647.37,377.11,875.90,679.82,428.60,0.00,271.76,670.87,194.61,472.23,533.35,377.11,763.54,685.66,685.66,946.71,775.65,1121.51,902.14,760.33,813.88,860.13,2411.91,2586.13,2537.99,1445.71,1362.39,1348.35,1376.32,1215.71,1052.51,724.61,1018.63,1486.56,1244.26,1485.17,2686.67,2628.67,2556.83,2686.67,2556.83,2556.83,2952.97,2686.67,2826.70,2822.82,2826.70,2378.70,2803.21,3088.62,3005.22,3082.82,2803.21,3134.78,3283.76,3010.70,3797.26,3322.20,3099.30,3224.95,2601.92,2432.49,2743.39,3797.26,3590.83,3274.28,3797.26,3116.03,3590.83,3797.26,3797.26,3797.26,3116.03,3797.26,3116.03,3245.78,3245.78,3116.03,3116.03,3245.78,3228.42,2751.89,3245.78,3385.04,3385.04,3245.78,3245.78,3245.78,3245.78,3228.42,3116.03,3116.03,3116.03,3116.03,3116.03,3116.03,3385.04,3228.42,3474.75,3245.78,3228.42,3245.78,3642.86,3474.75,3245.78,3245.78,3715.68,3474.75,3555.08,3474.75,3642.86,3642.86,3657.27,3474.75,3474.75,3855.39,3657.27,3385.04,3855.39,3733.48,3855.39,3733.48,3671.63,3684.07,3410.26,3733.48,3753.95,3855.39,3657.27,3733.48,3855.39,3855.39,3657.27,3855.39,3657.27,3855.39,3855.39,3855.39,3855.39,3805.83,3805.83,3726.79,4129.53,3692.95,3166.56,3005.22,3291.44,3224.97
N06221R,1827.16,1631.39,1710.72,1552.43,2469.26,2469.26,2569.70,2641.09,2440.86,2614.45,2839.12,2276.75,2584.24,2393.55,2550.75,2312.70,2114.24,2380.38,1972.71,1972.71,1766.12,2032.98,2500.64,2500.64,2585.20,2585.20,2550.75,2142.86,2142.86,1986.22,1881.57,2063.65,2281.67,792.20,521.95,1020.74,824.65,505.47,837.88,0.00,815.70,643.27,419.04,678.18,521.95,908.38,830.50,830.50,1091.55,920.49,1266.34,1046.97,905.17,958.71,1004.97,2556.74,2730.96,2682.82,1590.55,1507.22,1493.18,1521.15,1360.55,1197.34,869.45,1163.46,1631.39,1389.10,1630.01,2831.50,2773.51,2701.66,2831.50,2701.66,2701.66,3097.81,2831.50,2971.53,2967.65,2971.53,2523.53,2948.05,3233.46,3150.05,3227.65,2948.05,3279.61,3428.59,3155.53,3942.10,3467.04,3244.13,3369.78,2933.06,2577.33,3027.09,3942.10,3735.66,3419.11,3942.10,3260.86,3735.66,3942.10,3942.10,3942.10,3260.86,3942.10,3260.86,3390.62,3390.62,3260.86,3260.86,3390.62,3373.25,2896.73,3390.62,3529.87,3529.87,3390.62,3390.62,3390.62,3390.62,3373.25,3260.86,3260.86,3260.86,3260.86,3260.86,3260.86,3529.87,3373.25,3619.59,3390.62,3373.25,3390.62,3787.69,3619.59,3390.62,3390.62,3860.51,3619.59,3699.91,3619.59,3787.69,3787.69,3802.10,3619.59,3619.59,4000.22,3802.10,3529.87,4000.22,3878.32,4000.22,3878.32,3816.47,3828.90,3555.10,3878.32,3898.78,4000.22,3802.10,3878.32,4000.22,4000.22,3802.10,4000.22,3802.10,4000.22,4000.22,4000.22,4000.22,3950.66,3950.66,3871.62,4274.37,3837.79,3311.39,3150.05,3436.27,3369.81
N06222H,1192.65,996.89,1076.21,917.92,1834.75,1834.75,1935.19,2006.58,1806.35,1979.94,2204.61,1642.24,1949.73,1759.04,1916.24,1678.19,1479.73,1745.87,1338.21,1338.21,1131.61,1398.47,1866.13,1866.13,1950.69,1950.69,1916.24,1508.35,1508.35,1351.72,1247.06,1429.14,1647.17,394.51,124.25,623.05,426.96,175.74,508.15,390.70,0.00,313.55,219.37,280.49,124.25,510.68,195.99,195.99,457.04,285.98,631.83,412.47,270.66,324.20,370.46,1922.24,2096.45,2048.31,956.04,872.72,890.60,886.64,726.04,562.84,234.94,528.95,996.89,754.59,995.50,2196.99,2139.00,2067.15,2196.99,2067.15,2067.15,2463.30,2196.99,2337.03,2333.14,2337.03,1889.03,2313.54,2598.95,2515.54,2593.14,2313.54,2645.11,2794.08,2521.03,3307.59,2832.53,2609.62,2735.28,2298.56,1942.82,2392.58,3307.59,3101.15,2784.60,3307.59,2863.17,3101.15,3307.59,3307.59,3307.59,2863.17,3307.59,2863.17,2992.92,2992.92,2863.17,2863.17,2992.92,2975.56,2262.22,2992.92,3132.18,3132.18,2992.92,2992.92,2992.92,2992.92,2975.56,2863.17,2863.17,2863.17,2863.17,2863.17,2863.17,3132.18,2975.56,3221.89,2992.92,2975.56,2992.92,3390.00,3221.89,2992.92,2992.92,3462.82,3221.89,3302.22,3221.89,3390.00,3390.00,3404.41,3221.89,3221.89,3602.53,3404.41,3132.18,3602.53,3480.62,3602.53,3480.62,3418.77,3431.21,3157.41,3480.62,3501.09,3602.53,3404.41,3480.62,3602.53,3602.53,3404.41,3602.53,3404.41,3602.53,3602.53,3602.53,3602.53,3316.15,3316.15,3237.11,3639.86,3203.28,2676.88,2515.54,2801.77,2735.30
N06222K,1487.71,1291.95,1371.28,1212.99,2129.82,2129.82,2230.26,2301.64,2101.42,2275.01,2499.67,1937.30,2244.79,2054.11,2211.30,1973.26,1774.79,2040.94,1633.27,1633.27,1426.67,1693.53,2161.20,2161.20,2245.76,2245.76,2211.30,1803.41,1803.41,1646.78,1542.13,1724.20,1942.23,452.75,182.50,681.29,485.21,233.99,194.61,77.15,476.26,0.00,277.62,338.74,182.50,568.93,491.05,491.05,752.10,581.04,926.90,707.53,565.72,619.27,665.52,2217.30,2391.52,2343.38,1251.10,1167.78,1153.73,1181.71,1021.11,857.90,530.00,824.02,1291.95,1049.65,1290.56,2492.06,2434.06,2362.22,2492.06,2362.22,2362.22,2758.36,2492.06,2632.09,2628.21,2632.09,2184.09,2608.60,2894.01,2810.61,2888.21,2608.60,2940.17,3089.15,2816.09,3602.65,3127.59,2904.69,3030.34,2593.62,2237.88,2687.65,3602.65,3396.22,3079.67,3602.65,2921.42,3396.22,3602.65,3602.65,3602.65,2921.42,3602.65,2921.42,3051.17,3051.17,2921.42,2921.42,3051.17,3033.81,2557.28,3051.17,3190.43,3190.43,3051.17,3051.17,3051.17,3051.17,3033.81,2921.42,2921.42,2921.42,2921.42,2921.42,2921.42,3190.43,3033.81,3280.14,3051.17,3033.81,3051.17,3448.24,3280.14,3051.17,3051.17,3521.07,3280.14,3360.47,3280.14,3448.24,3448.24,3462.66,3280.14,3280.14,3660.78,3462.66,3190.43,3660.78,3538.87,3660.78,3538.87,3477.02,3489.46,3215.65,3538.87,3559.34,3660.78,3462.66,3538.87,3660.78,3660.78,3462.66,3660.78,3462.66,3660.78,3660.78,3660.78,3660.78,3611.22,3611.22,3532.18,3934.92,3498.34,2971.95,2810.61,3096.83,3030.36
N06222L,1408.12,1212.36,1291.68,1133.39,2050.22,2050.22,2150.66,2222.05,2021.82,2195.41,2420.08,1857.71,2165.20,1974.51,2131.71,1893.66,1695.20,1961.34,1553.68,1553.68,1347.08,1613.94,2081.60,2081.60,2166.16,2166.16,2131.71,1723.82,1723.82,1567.18,1462.53,1644.61,1862.63,373.16,102.91,601.70,405.62,86.43,418.85,301.39,396.66,224.24,0.00,259.15,102.91,489.34,411.46,411.46,672.51,501.45,847.30,627.94,486.13,539.67,585.93,2137.70,2311.92,2263.78,1171.51,1088.18,1074.14,1102.11,941.51,778.30,450.41,744.42,1212.36,970.06,1210.97,2412.46,2354.47,2282.62,2412.46,2282.62,2282.62,2678.77,2412.46,2552.50,2548.61,2552.50,2104.49,2529.01,2814.42,2731.01,2808.61,2529.01,2860.57,3009.55,2736.49,3523.06,3048.00,2825.09,2950.74,2514.03,2158.29,2608.05,3523.06,3316.62,3000.07,3523.06,2841.82,3316.62,3523.06,3523.06,3523.06,2841.82,3523.06,2841.82,2971.58,2971.58,2841.82,2841.82,2971.58,2954.22,2477.69,2971.58,3110.83,3110.83,2971.58,2971.58,2971.58,2971.58,2954.22,2841.82,2841.82,2841.82,2841.82,2841.82,2841.82,3110.83,2954.22,3200.55,2971.58,2954.22,2971.58,3368.65,3200.55,2971.58,2971.58,3441.47,3200.55,3280.87,3200.55,3368.65,3368.65,3383.06,3200.55,3200.55,3581.18,3383.06,3110.83,3581.18,3459.28,3581.18,3459.28,3397.43,3409.86,3136.06,3459.28,3479.74,3581.18,3383.06,3459.28,3581.18,3581.18,3383.06,3581.18,3383.06,3581.18,3581.18,3581.18,3581.18,3531.62,3531.62,3452.58,3855.33,3418.75,2892.35,2731.01,3017.23,2950.77
N06222M,1330.17,1134.40,1213.73,1055.44,1972.27,1972.27,1982.45,2144.10,1943.87,2117.46,2342.13,1779.76,2087.24,1896.56,2053.76,1815.71,1617.25,1883.39,1475.72,1475.72,1269.13,1520.24,2003.65,2003.65,2088.21,2088.21,2053.76,1645.86,1645.86,1489.23,1384.58,1566.65,1784.68,114.01,234.52,342.55,146.47,244.46,576.88,459.42,137.52,382.27,288.10,0.00,234.52,230.19,333.50,333.50,594.56,423.50,769.35,549.98,408.18,461.72,507.97,2059.75,2085.08,2185.83,1093.56,1010.23,814.99,1024.16,863.56,700.35,372.46,585.29,1134.40,892.11,1133.01,2334.51,2276.52,2204.67,2334.51,2204.67,2204.67,2600.82,2334.51,2474.54,2470.66,2474.54,2026.54,2451.06,2736.47,2653.06,2730.66,2451.06,2782.62,2931.60,2658.54,3445.11,2970.05,2747.14,2795.33,2436.07,2080.34,2530.10,3445.11,3238.67,2922.12,3445.11,2582.68,3238.67,3445.11,3445.11,3445.11,2582.68,3445.11,2582.68,2712.43,2712.43,2582.68,2582.68,2712.43,2695.07,2399.74,2712.43,2851.68,2851.68,2712.43,2712.43,2712.43,2712.43,2695.07,2582.68,2582.68,2582.68,2582.68,2582.68,2582.68,2851.68,2695.07,2941.40,2712.43,2695.07,2712.43,3109.50,2941.40,2712.43,2712.43,3182.33,2941.40,3021.73,2941.40,3109.50,3109.50,3123.91,2941.40,2941.40,3322.04,3123.91,2851.68,3322.04,3200.13,3322.04,3200.13,3138.28,3150.72,2876.91,3200.13,3220.60,3322.04,3123.91,3200.13,3322.04,3322.04,3123.91,3322.04,3123.91,3322.04,3322.04,3322.04,3322.04,3453.67,3453.67,3374.63,3777.38,3340.80,2814.40,2653.06,2939.28,2872.82
N06241A,1354.67,1158.91,1238.23,1079.95,1996.77,1996.77,2097.21,2168.60,1968.37,2141.96,2366.63,1804.26,2111.75,1921.06,2078.26,1840.21,1641.75,1907.89,1500.23,1500.23,1293.63,1560.49,2028.15,2028.15,2112.71,2112.71,2078.26,1670.37,1670.37,1513.74,1409.08,1591.16,1809.19,270.25,0.00,498.79,302.71,51.48,383.90,266.44,293.75,189.29,95.12,156.24,0.00,386.43,358.01,358.01,619.06,448.00,793.85,574.49,432.68,486.22,532.48,2084.26,2241.32,2210.33,1118.06,1034.73,971.23,1048.66,888.06,724.86,396.96,690.97,1158.91,916.61,1157.52,2359.01,2301.02,2229.17,2359.01,2229.17,2229.17,2625.32,2359.01,2499.05,2495.16,2499.05,2051.05,2475.56,2760.97,2677.56,2755.16,2475.56,2807.13,2956.10,2683.05,3469.61,2994.55,2771.64,2897.30,2460.58,2104.84,2554.60,3469.61,3263.17,2946.62,3469.61,2738.92,3263.17,3469.61,3469.61,3469.61,2738.92,3469.61,2738.92,2868.67,2868.67,2738.92,2738.92,2868.67,2851.31,2424.24,2868.67,3007.92,3007.92,2868.67,2868.67,2868.67,2868.67,2851.31,2738.92,2738.92,2738.92,2738.92,2738.92,2738.92,3007.92,2851.31,3097.64,2868.67,2851.31,2868.67,3265.74,3097.64,2868.67,2868.67,3338.56,3097.64,3177.97,3097.64,3265.74,3265.74,3280.15,3097.64,3097.64,3478.27,3280.15,3007.92,3478.27,3356.37,3478.27,3356.37,3294.52,3306.95,3033.15,3356.37,3376.84,3478.27,3280.15,3356.37,3478.27,3478.27,3280.15,3478.27,3280.15,3478.27,3478.27,3478.27,3478.27,3478.17,3478.17,3399.13,3801.88,3365.30,2838.90,2677.56,2963.79,2897.32
N06241B,1386.65,1190.88,1270.21,1111.92,2028.75,2028.75,1990.49,2183.00,2000.35,2173.94,2398.61,1836.24,2143.72,1953.04,2110.24,1872.19,1673.73,1939.87,1532.20,1532.20,1325.61,1528.28,2060.13,2060.13,2144.69,2144.69,2110.24,1702.34,1702.34,1545.71,1441.06,1623.13,1841.16,170.49,250.48,350.59,154.51,252.50,584.92,467.46,194.00,390.31,296.13,56.48,250.48,0.00,389.98,389.98,651.04,479.98,825.83,606.46,464.65,518.20,564.45,2116.23,2093.12,2224.73,1150.04,1066.71,823.03,1080.64,920.04,756.83,428.94,593.33,1190.88,948.59,1189.49,2390.99,2333.00,2261.15,2390.99,2261.15,2261.15,2657.30,2390.99,2531.02,2509.56,2531.02,2083.02,2507.53,2792.94,2709.54,2787.14,2507.53,2839.10,2983.44,2715.02,3501.59,3026.53,2803.62,2803.37,2492.55,2136.81,2586.58,3501.59,3295.15,2978.60,3501.59,2590.72,3295.15,3501.59,3501.59,3501.59,2590.72,3501.59,2590.72,2720.47,2720.47,2590.72,2590.72,2720.47,2703.11,2456.22,2720.47,2859.72,2859.72,2720.47,2720.47,2720.47,2720.47,2703.11,2590.72,2590.72,2590.72,2590.72,2590.72,2590.72,2859.72,2703.11,2949.44,2720.47,2703.11,2720.47,3117.54,2949.44,2720.47,2720.47,3190.37,2949.44,3029.77,2949.44,3117.54,3117.54,3131.95,2949.44,2949.44,3330.08,3131.95,2859.72,3330.08,3208.17,3330.08,3208.17,3146.32,3158.76,2884.95,3208.17,3228.64,3330.08,3131.95,3208.17,3330.08,3330.08,3131.95,3330.08,3131.95,3330.08,3330.08,3330.08,3330.08,3510.15,3510.15,3431.11,3833.85,3397.28,2870.88,2709.54,2995.76,2929.29
N06241Y,996.66,800.90,880.23,721.94,1638.76,1638.76,1739.21,1810.59,1610.36,1783.95,2008.62,1446.25,1753.74,1563.06,1720.25,1482.20,1283.74,1549.88,1142.22,1142.22,935.62,1202.48,1670.15,1670.15,1754.70,1754.70,1720.25,1312.36,1312.36,1155.73,1051.08,1233.15,1451.18,521.06,359.05,701.16,505.08,410.54,742.95,625.50,234.80,548.34,454.17,407.05,359.05,350.57,0.00,0.00,261.05,89.99,435.85,216.48,74.67,128.22,174.47,1726.25,1900.47,1852.33,760.05,676.73,694.61,690.66,530.05,366.85,38.95,332.97,800.90,558.60,799.51,2001.01,1943.01,1871.17,2001.01,1871.17,1871.17,2267.31,2001.01,2141.04,2137.16,2141.04,1693.04,2117.55,2402.96,2319.55,2397.16,2117.55,2449.12,2598.10,2325.04,3111.60,2636.54,2413.64,2539.29,2102.57,1746.83,2196.60,3111.60,2905.16,2588.62,3111.60,2793.03,2905.16,3111.60,3111.60,3111.60,2793.03,3111.60,2793.03,2922.78,2922.78,2793.03,2793.03,2922.78,2905.42,2066.23,2922.78,3062.04,3062.04,2922.78,2922.78,2922.78,2922.78,2905.42,2793.03,2793.03,2793.03,2793.03,2793.03,2793.03,3062.04,2905.42,3151.76,2922.78,2905.42,2922.78,3319.86,3151.76,2922.78,2922.78,3392.68,3151.76,3232.08,3151.76,3319.86,3319.86,3334.27,3151.76,3151.76,3532.39,3334.27,3062.04,3532.39,3410.48,3532.39,3410.48,3348.63,3361.07,3087.26,3410.48,3430.95,3532.39,3334.27,3410.48,3532.39,3532.39,3334.27,3532.39,3334.27,3532.39,3532.39,3532.39,3532.39,3120.16,3120.16,3041.12,3443.87,3007.29,2480.89,2319.55,2605.78,2539.31
N06242Z,996.66,800.90,880.23,721.94,1638.76,1638.76,1739.21,1810.59,1610.36,1783.95,2008.62,1446.25,1753.74,1563.06,1720.25,1482.20,1283.74,1549.88,1142.22,1142.22,935.62,1202.48,1670.15,1670.15,1754.70,1754.70,1720.25,1312.36,1312.36,1155.73,1051.08,1233.15,1451.18,521.06,359.05,701.16,505.08,410.54,742.95,625.50,234.80,548.34,454.17,407.05,359.05,350.57,0.00,0.00,261.05,89.99,435.85,216.48,74.67,128.22,174.47,1726.25,1900.47,1852.33,760.05,676.73,694.61,690.66,530.05,366.85,38.95,332.97,800.90,558.60,799.51,2001.01,1943.01,1871.17,2001.01,1871.17,1871.17,2267.31,2001.01,2141.04,2137.16,2141.04,1693.04,2117.55,2402.96,2319.55,2397.16,2117.55,2449.12,2598.10,2325.04,3111.60,2636.54,2413.64,2539.29,2102.57,1746.83,2196.60,3111.60,2905.16,2588.62,3111.60,2793.03,2905.16,3111.60,3111.60,3111.60,2793.03,3111.60,2793.03,2922.78,2922.78,2793.03,2793.03,2922.78,2905.42,2066.23,2922.78,3062.04,3062.04,2922.78,2922.78,2922.78,2922.78,2905.42,2793.03,2793.03,2793.03,2793.03,2793.03,2793.03,3062.04,2905.42,3151.76,2922.78,2905.42,2922.78,3319.86,3151.76,2922.78,2922.78,3392.68,3151.76,3232.08,3151.76,3319.86,3319.86,3334.27,3151.76,3151.76,3532.39,3334.27,3062.04,3532.39,3410.48,3532.39,3410.48,3348.63,3361.07,3087.26,3410.48,3430.95,3532.39,3334.27,3410.48,3532.39,3532.39,3334.27,3532.39,3334.27,3532.39,3532.39,3532.39,3532.39,3120.16,3120.16,3041.12,3443.87,3007.29,2480.89,2319.55,2605.78,2539.31
