detid_X,detid_Y,DISTANCE
N06112W,N06221Q,1486.56
N06112W,N06221R,1631.394
N06112W,N06222H,996.886
N06112W,N06222K,1291.95
N06112W,N06222M,1134.403
N06112W,N06222L,1212.355
N06112W,N06241A,1158.9060000000002
N06112W,N06291B,0.0
N06112W,N06291E,242.296
N06112W,N06291F,347.71000000000004
N06112W,N06281S,611.76
N06112W,N06281R,761.946
N06112W,N06271L,431.448
N06112W,N06271K,493.606
N06112W,N06271G,211.169
N06112W,N06271H,403.283
N06112W,N06252F,938.716
N06112W,N06252D,776.429
N06112W,N06252E,892.4630000000001
N06112W,N06251V,854.238
N06112W,N06251T,539.846
N06112W,N06251W,936.993
N06112W,N06251X,1015.204
N06112W,N06241B,1190.8820000000003
N06112W,N06242Z,800.8990000000001
N06112W,N06241Y,800.8990000000001
N06112W,N06113Y,79.327
N06112W,N06114Z,106.749
N06112W,N06121L,761.3410000000001
N06112W,N06121M,465.039
N06112W,N06121N,810.671
N06112W,N06131T,804.4340000000001
N06112W,N06131V,979.922
N06112W,N06131W,1139.2659999999998
N06112W,N06131X,641.377
N06112W,N06161Q,353.471
N06112W,N06161T,134.723
N06112W,N06161U,458.993
N06112W,N06171P,735.609
N06112W,N06171Q,1115.863
N06112W,N06171S,915.377
N06112W,N06181J,573.272
N06112W,N06261V,726.328
N06112W,N06261Y,900.5450000000001
N06112W,N06261Z,852.404
N06112W,N06281P,891.5050000000001
N06112W,N06321B,1262.947
N06112W,N06321C,1096.902
N06112W,N06321D,956.868
N06112W,N06321E,1089.677
N06112W,N06331A,1088.5950000000005
N06112W,N06331J,1358.706
N06112W,N06331X,1296.3990000000003
N06112W,N06331Y,1374.0010000000004
N06112W,N06331Z,1088.5950000000005
N06112W,N06341K,1663.2230000000004
N06112W,N06341S,1514.246
N06112W,N06341T,1436.629
N06112W,N06351L,2088.4460000000004
N06112W,N06351M,1601.4260000000004
N06112W,N06351P,1348.0320000000002
N06112W,N06351R,1694.316
N06112W,N06411H,2088.4460000000004
N06112W,N06411J,1882.009
N06112W,N06411K,1523.7240000000002
N06112W,N06421A,2088.4460000000004
N06112W,N06421B,2683.631
N06112W,N06421D,1882.009
N06112W,N06421E,2088.4460000000004
N06112W,N06421F,2088.4460000000004
N06112W,N06421G,2088.4460000000004
N06112W,N06431X,2683.631
N06112W,N06431Y,2088.4460000000004
N06112W,N06431Z,2683.631
N06112W,N06451L,2935.0219999999995
N06112W,N06451P,2935.0219999999995
N06112W,N06451S,2683.631
N06112W,N06461T,2796.022
N06112W,N06481L,2935.0219999999995
N06112W,N06481P,3074.274999999999
N06112W,N06481S,2935.0219999999995
N06112W,N06511A,2796.022
N06112W,N06511B,2683.631
N06112W,N06511C,2683.631
N06112W,N06521E,2683.631
N06112W,N06521F,2683.631
N06112W,N06521G,2683.631
N06112W,N06521H,2683.631
N06112W,N06611E,3159.4779999999987
N06112W,N06611G,2796.022
N06112W,N06611J,2935.0219999999995
N06112W,N06621A,3357.634999999999
N06112W,N06621B,3159.4779999999987
N06112W,N06621C,2935.0219999999995
N06112W,N06621D,2935.0219999999995
N06112W,N06631X,3484.717
N06112W,N06631Y,3159.4779999999987
N06112W,N06631Z,3239.8039999999987
N06112W,N06691R,3159.4779999999987
N06112W,N06691S,3357.634999999999
N06112W,N06691T,3357.634999999999
N06112W,N06691U,3343.223999999999
N06112W,N06691V,3159.4779999999987
N06112W,N06731W,3159.4779999999987
N06112W,N06731X,3532.1829999999995
N06112W,N06731Y,3343.223999999999
N06112W,N06731Z,3074.274999999999
N06112W,N36121V,1984.137
N06112W,N41111F,1582.6220000000008
N06112W,N41121B,1516.1550000000009
N06112W,N41111D,1590.568000000001
N06112W,N41111E,1296.3990000000003
N06112W,N06281M,270.845
N06112W,N06171B,735.609
N06112W,N06311K,1298.586
N06112W,N06121A,761.3410000000001
N06112W,N06171R,1115.863
N06112W,N06311L,1226.741
N06112W,N06311N,1096.902
N06112W,N06312M,1226.741
N06112W,N06311J,1096.902
N06112W,N06312P,1226.741
N06112W,N06321L,956.868
N06112W,N06322G,718.791
N06112W,N06391Z,1396.745
N06112W,N06391B,1472.717
N06112W,N06391Y,942.799
N06112W,N06471H,1043.5260000000003
N06112W,N31111S,2097.0080000000003
N06112W,N31111U,2097.0080000000003
N06112W,N31111W,2017.9680000000003
N06112W,N31122B,2420.7150000000006
N06112W,N26151X,3532.1829999999995
N06112W,N29111A,3472.514
N06112W,N29111S,3472.514
N06112W,N29111R,3532.1829999999995
N06112W,N29111V,3368.7919999999986
N06112W,N29111T,3328.857999999999
N06112W,N29113R,3452.047
N06112W,N29121G,3532.1829999999995
N06112W,N29121J,3343.223999999999
N06112W,N29121M,3472.514
N06112W,N29111W,3697.257999999999
N06112W,N29112Q,3472.514
N06112W,N29121N,3532.1829999999995
N06112W,N29121P,3532.1829999999995
N06112W,N29121Z,3343.223999999999
N06112W,N29131B,3532.1829999999995
N06112W,N29131C,3343.223999999999
N06112W,N29131E,3532.1829999999995
N06112W,N29141A,3532.1829999999995
N06112W,N29142H,3532.1829999999995
N06112W,N29131F,3532.1829999999995
N06112W,N06461E,2935.0219999999995
N06112W,N06611A,2796.022
N06112W,N06611F,2935.0219999999995
N06112W,N06481N,3074.274999999999
N06112W,N06482F,2935.0219999999995
N06112W,N06482K,2935.0219999999995
N06112W,N06482J,2935.0219999999995
N06112W,N06551T,3074.274999999999
N06112W,N06451R,2683.631
N06141A,N06111V,849.6280000000002
N06141A,N06112W,952.842
N06141A,N06141A,0.0
N06141A,N06141C,775.1
N06141A,N06141Y,695.179
N06141A,N06151D,855.953
N06141A,N06151F,610.258
N06141A,N06151G,882.7570000000001
N06141A,N06161R,751.7810000000001
N06141A,N06181K,765.2900000000001
N06141A,N06181H,581.6410000000001
N06141A,N06191Z,677.468
N06141A,N06191N,795.2170000000001
N06141A,N06191P,999.28
N06141A,N06211C,1973.2309999999995
N06141A,N06211G,2003.425
N06141A,N06211F,2252.466
N06141A,N06211E,2111.748
N06141A,N06221P,2125.9069999999992
N06141A,N06221Q,2439.402
N06141A,N06221R,2584.2359999999994
N06141A,N06222H,1949.7279999999996
N06141A,N06222K,2244.7919999999995
N06141A,N06222M,2087.2449999999994
N06141A,N06222L,2165.196999999999
N06141A,N06241A,2111.748
N06141A,N06291B,952.842
N06141A,N06291E,1195.1379999999997
N06141A,N06291F,1300.5519999999997
N06141A,N06281S,1564.6019999999996
N06141A,N06281R,1714.7879999999996
N06141A,N06271L,1384.2899999999995
N06141A,N06271K,1446.4479999999996
N06141A,N06271G,1164.0109999999995
N06141A,N06271H,1356.1249999999998
N06141A,N06252F,1702.2189999999996
N06141A,N06252D,1729.2709999999995
N06141A,N06252E,1821.036
N06141A,N06251V,1786.6969999999997
N06141A,N06251T,1492.6879999999996
N06141A,N06251W,1889.835
N06141A,N06251X,1968.0459999999996
N06141A,N06241B,2143.7239999999997
N06141A,N06242Z,1753.7409999999995
N06141A,N06241Y,1753.7409999999995
N06141A,N06113Y,873.5149999999999
N06141A,N06114Z,1059.591
N06141A,N06121L,900.462
N06141A,N06121M,668.12
N06141A,N06121N,1013.7520000000002
N06141A,N06131T,990.4779999999998
N06141A,N06131V,759.7239999999999
N06141A,N06131W,919.068
N06141A,N06131X,421.179
N06141A,N06161Q,751.7810000000001
N06141A,N06161T,864.022
N06141A,N06161U,1020.729
N06141A,N06171P,938.6900000000002
N06141A,N06171Q,1133.359
N06141A,N06171S,695.179
N06141A,N06181J,581.6410000000001
N06141A,N06261V,929.409
N06141A,N06261Y,1103.6260000000002
N06141A,N06261Z,1055.485
N06141A,N06281P,1639.087
N06141A,N06321B,1466.028
N06141A,N06321C,1299.9830000000002
N06141A,N06321D,1159.949
N06141A,N06321E,1292.758
N06141A,N06331A,1291.6760000000002
N06141A,N06331J,1561.787
N06141A,N06331X,1499.4800000000002
N06141A,N06331Y,1577.0820000000003
N06141A,N06331Z,1291.6760000000002
N06141A,N06341K,1866.3040000000003
N06141A,N06341S,1717.327
N06141A,N06341T,1639.71
N06141A,N06351L,2291.527
N06141A,N06351M,1804.507
N06141A,N06351P,1551.113
N06141A,N06351R,1897.397
N06141A,N06411H,2291.527
N06141A,N06411J,2085.09
N06141A,N06411K,1726.805
N06141A,N06421A,2291.527
N06141A,N06421B,3394.358
N06141A,N06421D,2085.09
N06141A,N06421E,2291.527
N06141A,N06421F,2291.527
N06141A,N06421G,2291.527
N06141A,N06431X,3394.358
N06141A,N06431Y,2291.527
N06141A,N06431Z,3394.358
N06141A,N06451L,3645.748999999999
N06141A,N06451P,3645.748999999999
N06141A,N06451S,3394.358
N06141A,N06461T,3506.7490000000003
N06141A,N06481L,3645.748999999999
N06141A,N06481P,3785.001999999999
N06141A,N06481S,3645.748999999999
N06141A,N06511A,3506.7490000000003
N06141A,N06511B,3394.358
N06141A,N06511C,3394.358
N06141A,N06521E,3394.358
