detid_Y,1.00,5.00,6.00,7.00,8.00,10.00,11.00,12.00,13.00,14.00,15.00,17.00,18.00,23.00,24.00,25.00,26.00,31.00,33.00,34.00,37.00,38.00,40.00,41.00,45.00,46.00,47.00,48.00,49.00,50.00,52.00,53.00,56.00,60.00,62.00,64.00,65.00,66.00,68.00,70.00,71.00,74.00,94.00,95.00,97.00,98.00,156.00,157.00,158.00,160.00,161.00,162.00,163.00,167.00,176.00,178.00,183.00,184.00,192.00,193.00,195.00,201.00,202.00,203.00,210.00,214.00,215.00,216.00,217.00,218.00,219.00,220.00,224.00,225.00,227.00,228.00,229.00,233.00,235.00,236.00,238.00,239.00,243.00,244.00,253.00,254.00,255.00,256.00,266.00,267.00,268.00,269.00,270.00,271.00,275.00,276.00,280.00,281.00,283.00,284.00,286.00,295.00,296.00,298.00,300.00,301.00,303.00,314.00,315.00,318.00,319.00,320.00,323.00,324.00,325.00,326.00,330.00,331.00,332.00,333.00,334.00,335.00,337.00,344.00,349.00,355.00,362.00,367.00,417.00,439.00,449.00,495.00,511.00,520.00,523.00,524.00,525.00,526.00,533.00,534.00,550.00,551.00,553.00,555.00,560.00,561.00,585.00,589.00,594.00,613.00,644.00,651.00,687.00,807.00,808.00,1007.00,1053.00,1131.00,1218.00,1226.00,1227.00,1232.00,1371.00,1406.00,1501.00,1566.00,1572.00,1814.00,1815.00,1944.00,1945.00,1946.00,1947.00,1948.00,1949.00,1951.00,1960.00,1961.00,1964.00,1965.00,1966.00,4061.00,4189.00,4224.00,4226.00,4229.00,4230.00,4262.00,4264.00,4274.00,4281.00,4282.00,4365.00,4369.00,4372.00,4377.00,4392.00,4397.00,4400.00,4406.00,4407.00,4408.00,4410.00,4414.00,4424.00,4434.00,4437.00,4439.00,4444.00,4449.00,4450.00,4452.00,4460.00,4490.00,4543.00,4547.00,4551.00,4561.00,4575.00,4578.00,4580.00,4582.00,4596.00,4599.00,4605.00,4610.00,4642.00,4643.00,4779.00,5053.00,5287.00,5401.00,5402.00,5519.00,5588.00,5743.00,5789.00,5849.00,6568.00,6586.00,6590.00,6593.00,6595.00,6597.00,6652.00,6655.00,6792.00
1.00,0.00,2076.32,1995.88,1914.08,1766.09,1635.43,1824.33,1992.76,2154.74,1913.84,1788.74,834.65,1705.76,2059.51,1944.12,1873.84,3289.62,2155.11,1859.92,1898.37,1584.63,1442.96,1222.35,1600.23,1913.16,3289.62,2273.64,2044.41,1975.41,1873.84,1635.43,1509.83,2051.77,1995.88,1913.84,1670.86,1555.47,1424.69,1123.67,786.09,465.69,397.87,789.59,556.45,1519.04,998.94,2016.31,992.31,1041.38,1284.34,1404.26,1336.10,1981.72,2496.29,2046.27,0.00,1054.88,1339.51,1168.22,1347.52,1093.42,472.95,355.57,210.40,1583.94,1336.91,259.34,259.34,926.76,926.76,1156.94,2152.78,1313.41,1244.88,1244.88,1400.97,1069.51,2539.85,1313.41,1422.06,2086.83,2034.43,1619.18,1619.18,2207.19,2251.90,2270.24,2399.21,1977.91,1993.65,1993.65,1571.47,1571.47,1804.34,1675.63,1765.18,2895.06,2531.05,2104.52,259.34,2463.41,2427.26,2359.25,2197.21,2461.84,2304.60,2627.71,983.51,1153.50,1806.99,1549.78,1549.78,2388.05,1560.96,1249.16,899.27,1224.55,1125.06,1174.08,1053.96,1007.48,1088.27,932.35,1290.65,1375.68,803.41,1168.51,2740.48,2266.16,2394.80,1761.31,2189.90,2179.39,2572.59,2732.54,3065.10,3425.93,2221.88,2614.93,2482.55,3431.66,3627.69,2926.85,2971.94,2958.65,2871.20,1362.93,1981.75,1362.93,3327.54,2221.88,877.88,3330.74,3680.07,3720.27,1513.75,2730.82,0.00,3061.77,2457.03,2428.92,2903.85,606.94,2232.85,1093.42,2179.39,1210.67,2399.21,2559.97,2660.95,2946.86,3110.95,3150.08,3099.02,3028.19,2851.31,2669.13,2752.84,2904.63,2651.22,2947.70,3104.50,2290.13,3283.79,3192.67,2791.31,2845.36,3134.97,2036.94,2612.91,2357.12,1873.10,3026.99,2872.11,2713.49,1765.18,1806.99,3134.97,2266.16,3283.79,2265.86,3292.73,3395.06,2597.11,2551.62,3567.27,3575.15,3476.86,3056.01,3308.78,3305.69,3250.36,2265.86,2654.44,3383.60,3746.94,660.50,3294.69,3562.60,3653.35,1900.75,3877.97,2453.61,2593.73,2674.55,2652.85,4186.55,1157.49,2649.57,3088.95,2205.43,3351.00,3347.22,3120.53,1054.88,3040.48,1174.11,1013.68,3113.54,1852.36,1810.14,1712.71,2393.53,1946.09,3016.08,3114.69,3183.53
5.00,760.51,0.00,1251.27,1169.47,1021.48,890.82,1079.72,1248.15,1410.13,1169.23,1044.13,1595.16,961.16,1314.90,1199.52,1129.23,2340.69,2915.62,794.04,832.49,1302.08,1160.41,931.37,855.62,1168.56,2340.69,1529.03,1299.81,1230.80,1129.23,890.82,765.22,1760.78,1251.27,1169.23,1379.88,1264.48,1133.71,1884.18,1546.60,1226.20,1158.38,1550.10,1316.96,2279.55,1759.46,1271.70,1752.83,1779.90,1556.96,1454.33,1053.55,1690.73,1430.41,1301.66,760.51,1815.39,2100.02,1928.73,2108.03,1853.93,1233.46,1116.08,970.91,1301.39,271.02,1019.86,1019.86,1687.27,1687.27,1917.45,2913.29,2073.92,2005.39,2005.39,2161.48,1830.02,1473.96,2073.92,2182.57,2565.93,2513.53,2106.91,2106.91,2278.29,2118.33,2136.67,1971.02,2457.01,2472.75,2472.75,2331.98,2331.98,2564.85,2436.14,2525.69,1839.60,1465.16,1038.63,1019.86,1397.52,1361.38,1293.36,1131.33,1395.95,1238.71,1561.83,1744.03,1914.02,2567.50,2310.29,2310.29,3148.56,2321.47,2009.67,1659.78,1985.06,1885.57,1934.59,1814.47,1768.00,1848.78,1692.86,2051.16,2136.19,1563.92,1929.02,1674.59,3026.67,1650.20,1016.71,1898.91,1434.78,1827.98,1666.65,2030.24,2391.07,1477.28,1870.32,1737.95,2396.80,2561.80,1860.96,1937.09,1892.76,1805.32,618.32,1690.76,618.32,4088.05,1477.28,1638.39,4091.25,2614.18,2660.92,447.87,3491.33,760.51,1995.88,3217.54,3189.43,1954.92,1367.45,2993.36,1853.93,1434.78,1971.18,1971.02,1906.62,2251.94,2222.45,2386.53,2295.50,2072.54,2143.36,2076.68,1831.12,1747.41,1838.74,1585.34,1881.81,2038.61,1224.24,4044.30,3933.12,3453.76,3398.45,3895.48,2797.45,3373.42,3117.64,2633.61,3787.50,3632.62,3474.00,2525.69,2567.50,3895.48,3026.67,4044.30,3026.38,4053.24,4155.57,3357.62,3312.13,4327.78,4335.66,4237.37,3816.52,4069.29,4066.20,4010.87,3026.38,3414.95,4144.12,4507.46,1421.01,4055.20,4323.11,4413.86,2661.26,4638.48,3214.12,3354.24,3153.65,3413.36,4947.07,1918.01,1996.21,3849.46,2108.81,4111.51,4107.73,3782.98,1815.39,3800.99,1934.62,1774.20,3874.05,2612.87,2570.65,2473.22,3154.04,2706.60,3776.59,3875.21,3944.05
6.00,840.96,80.45,0.00,173.26,1101.93,971.27,1160.16,1328.60,1490.58,1249.68,1124.58,1675.60,1041.60,1395.34,1279.96,1209.68,2421.14,2996.06,874.48,912.93,1382.53,1240.86,1011.81,936.07,1249.00,2421.14,1609.48,1380.25,1311.24,1209.68,971.27,845.67,1841.23,0.00,1249.68,1460.32,1344.93,1214.16,1964.63,1627.04,1306.65,1238.83,1630.55,1397.41,2360.00,1839.90,1352.15,1833.27,1860.34,1637.41,1534.77,1134.00,1771.18,1510.85,1382.11,840.96,1895.84,2180.46,2009.17,2188.48,1934.38,1313.91,1196.53,1051.36,1381.83,351.47,1100.30,1100.30,1767.72,1767.72,1997.90,2993.74,2154.37,2085.84,2085.84,2241.92,1910.47,1554.40,2154.37,2263.02,2646.37,2593.97,2187.36,2187.36,2358.74,2198.78,2217.12,2051.47,2537.46,2553.20,2553.20,2412.42,2412.42,2645.30,2516.59,2606.14,1920.05,1545.60,1119.08,1100.30,1477.97,1441.82,1373.81,1211.77,1476.40,1319.16,1642.27,1824.47,1994.46,2647.95,2390.74,2390.74,3229.00,2401.92,2090.12,1740.22,2065.51,1966.02,2015.04,1894.92,1848.44,1929.22,1773.31,2131.60,2216.64,1644.37,2009.46,1755.04,3107.12,1730.64,1097.15,1979.36,1515.23,1908.42,1747.10,2110.69,2471.52,1557.72,1950.77,1818.39,2477.25,2642.24,1941.41,2017.53,1973.21,1885.76,698.76,1771.21,698.76,4168.49,1557.72,1718.83,4171.69,2694.63,2741.36,528.31,3571.78,840.96,2076.33,3297.98,3269.87,2035.37,1447.90,3073.81,1934.38,1515.23,2051.63,2051.47,1987.07,2332.39,2302.89,2466.98,2375.95,2152.98,2223.81,2157.12,1911.56,1827.85,1919.19,1665.78,1962.26,2119.06,1304.68,4124.75,4013.56,3534.21,3478.90,3975.92,2877.90,3453.87,3198.08,2714.06,3867.95,3713.07,3554.44,2606.14,2647.95,3975.92,3107.12,4124.75,3106.82,4133.69,4236.01,3438.07,3392.58,4408.23,4416.10,4317.81,3896.97,4149.74,4146.65,4091.31,3106.82,3495.39,4224.56,4587.90,1501.46,4135.65,4403.56,4494.31,2741.71,4718.93,3294.57,3434.69,3234.09,3493.80,5027.51,1998.45,2076.66,3929.91,2189.25,4191.95,4188.18,3863.43,1895.84,3881.44,2015.06,1854.64,3954.50,2693.31,2651.10,2553.67,3234.49,2787.05,3857.04,3955.65,4024.49
7.00,922.75,162.24,81.80,0.00,1183.72,1053.07,1241.96,1410.39,1572.37,1331.48,1206.37,1757.40,1123.40,1477.14,1361.76,1291.47,2502.93,3077.86,956.28,994.73,1464.32,1322.65,1093.61,1017.86,1330.80,2502.93,1691.27,1462.05,1393.04,1291.47,1053.07,927.46,1923.03,81.80,1331.48,1542.12,1426.73,1295.95,2046.42,1708.84,1388.44,1320.62,1712.34,1479.20,2441.79,1921.70,1433.94,1915.07,1942.14,1719.20,1616.57,1215.79,1852.97,1592.65,1463.90,922.75,1977.63,2262.26,2090.97,2270.27,2016.17,1395.71,1278.32,1133.16,1463.63,433.27,1182.10,1182.10,1849.51,1849.51,2079.69,3075.54,2236.16,2167.64,2167.64,2323.72,1992.27,1636.20,2236.16,2344.81,2728.17,2675.77,2269.15,2269.15,2440.53,2280.57,2298.91,2133.26,2619.26,2634.99,2634.99,2494.22,2494.22,2727.09,2598.38,2687.93,2001.85,1627.40,1200.88,1182.10,1559.76,1523.62,1455.60,1293.57,1558.20,1400.95,1724.07,1906.27,2076.26,2729.74,2472.53,2472.53,3310.80,2483.71,2171.91,1822.02,2147.31,2047.81,2096.83,1976.72,1930.24,2011.02,1855.11,2213.40,2298.43,1726.16,2091.26,1836.83,3188.91,1812.44,1178.95,2061.15,1597.02,1990.22,1828.90,2192.48,2553.32,1639.52,2032.56,1900.19,2559.04,2724.04,2023.20,2099.33,2055.00,1967.56,780.56,1853.01,780.56,4250.29,1639.52,1800.63,4253.49,2776.43,2823.16,610.11,3653.57,922.75,2158.12,3379.78,3351.67,2117.16,1529.70,3155.61,2016.17,1597.02,2133.43,2133.26,2068.86,2414.19,2384.69,2548.78,2457.74,2234.78,2305.61,2238.92,1993.36,1909.65,2000.98,1747.58,2044.05,2200.85,1386.48,4206.54,4095.36,3616.00,3560.70,4057.72,2959.70,3535.66,3279.88,2795.85,3949.74,3794.87,3636.24,2687.93,2729.74,4057.72,3188.91,4206.54,3188.62,4215.48,4317.81,3519.86,3474.37,4490.02,4497.90,4399.61,3978.76,4231.53,4228.44,4173.11,3188.62,3577.19,4306.36,4669.70,1583.25,4217.45,4485.35,4576.11,2823.51,4800.73,3376.36,3516.49,3315.89,3575.60,5109.31,2080.25,2158.46,4011.70,2271.05,4273.75,4269.98,3945.22,1977.63,3963.24,2096.86,1936.44,4036.30,2775.11,2732.90,2635.46,3316.28,2868.84,3938.84,4037.45,4106.29
8.00,1070.74,310.23,229.79,147.99,0.00,411.45,531.02,699.46,861.43,620.54,495.43,1651.27,263.80,617.55,502.16,431.88,1847.66,2774.26,1104.27,1142.72,822.71,681.04,452.00,376.25,147.07,1847.66,831.68,602.45,533.45,431.88,411.45,285.85,1281.41,229.79,620.54,900.51,785.12,654.34,1940.30,1602.71,1536.44,1468.62,1595.91,1627.19,2138.19,1511.40,574.35,1433.07,1300.53,1077.59,974.96,574.18,1211.36,1740.64,280.18,1070.74,1604.30,1888.92,1797.67,1968.92,1722.87,1543.70,1426.31,1281.15,822.02,581.26,1330.09,1330.09,1997.50,1997.50,2227.68,3223.53,2384.15,2315.63,2315.63,2471.71,2140.26,1444.56,2384.15,2492.80,2876.16,2823.76,2417.14,2417.14,2588.52,2428.56,2446.90,2281.25,2767.24,2782.98,2782.98,2642.21,2642.21,2875.08,2746.37,2835.93,2149.84,1775.39,1348.87,1330.09,1707.75,1671.61,1603.59,1441.56,1706.19,1548.94,1872.06,2054.26,2224.25,2877.73,2620.52,2620.52,3458.79,2631.70,2319.90,1970.01,2295.30,2195.80,2244.82,2124.71,2078.23,2159.01,2003.10,2344.10,1957.74,1874.15,1717.92,1984.82,3336.90,1101.50,319.35,1419.54,413.30,1130.62,1637.26,1623.14,1983.97,928.58,1172.97,1040.59,1989.70,2322.49,1663.31,1529.98,1720.40,1775.92,138.95,1211.39,138.95,4398.28,928.58,1948.62,4401.48,2478.91,2278.31,758.10,3801.56,1070.74,1798.23,3089.02,3048.07,1461.89,1677.69,3303.59,1722.87,413.30,2281.42,2281.25,2216.85,2562.18,2532.68,2696.77,2605.73,2382.77,2453.60,2386.91,2141.35,2057.64,2148.97,1895.57,2192.04,2169.25,1534.47,4354.53,4243.35,3763.99,3708.68,4205.71,3107.69,3683.65,3427.87,2943.84,4097.73,3942.86,3784.23,2835.93,2877.73,4205.71,3336.90,4354.53,3336.61,4363.47,4465.80,3667.85,3622.36,4638.01,4645.89,4547.60,4126.75,4379.52,4376.44,4321.10,3336.61,3725.18,4454.35,4817.69,1731.24,4365.44,4633.34,4724.10,2971.50,4948.72,3524.35,3664.48,3463.88,3723.59,5257.30,2228.24,2306.45,4159.69,2419.04,4421.74,4417.97,4093.21,1604.30,4111.23,2227.56,2084.43,4184.29,2923.10,2880.89,2783.45,3464.27,3016.83,4086.83,4185.44,4254.28
10.00,1201.40,440.89,360.45,278.65,130.66,0.00,337.55,505.99,667.96,427.07,301.97,1781.93,70.33,424.08,308.70,238.41,1654.19,2904.92,1234.93,1273.38,953.37,811.70,582.66,506.91,277.73,1654.19,638.21,408.98,339.98,238.41,0.00,416.51,1412.08,360.45,427.07,1031.17,915.78,785.00,2070.96,1733.37,1667.10,1599.28,1726.57,1757.86,2268.85,1642.06,380.88,1563.73,1431.19,1208.25,1105.62,704.84,1342.02,1871.30,410.84,1201.40,1734.96,2019.59,1928.33,2099.58,1853.53,1674.36,1556.97,1411.81,952.68,711.92,1460.75,1460.75,2128.16,2128.16,2358.34,3354.19,2514.81,2446.29,2446.29,2602.37,2270.91,1251.09,2514.81,2623.46,3006.82,2954.42,2547.80,2547.80,2719.18,2559.22,2577.56,2411.91,2897.91,2913.64,2913.64,2772.87,2772.87,3005.74,2877.03,2966.58,2280.50,1906.05,1479.53,1460.75,1838.41,1802.27,1734.25,1572.22,1836.85,1679.60,2002.72,2184.92,2354.91,3008.39,2751.18,2751.18,3589.45,2762.36,2450.56,2100.67,2425.96,2326.46,2375.48,2255.37,2208.89,2289.67,2133.76,2474.76,2088.40,2004.81,1848.59,2115.48,3467.56,908.03,125.89,1550.20,543.96,937.15,1443.79,1429.67,1790.50,735.11,979.50,847.12,1796.23,2129.02,1469.84,1336.51,1526.93,1582.45,269.61,1342.06,269.61,4528.94,735.11,2079.28,4532.14,2285.44,2084.84,888.76,3932.22,1201.40,1604.76,3219.68,3178.73,1268.42,1808.35,3434.25,1853.53,543.96,2412.08,2411.91,2347.51,2692.84,2663.34,2827.43,2736.39,2513.43,2584.26,2517.57,2272.01,2188.30,2279.63,2026.23,2118.74,1975.78,1665.13,4485.19,4374.01,3894.65,3839.34,4336.37,3238.35,3814.31,3558.53,3074.50,4228.39,4073.52,3914.89,2966.58,3008.39,4336.37,3467.56,4485.19,3467.27,4494.13,4596.46,3798.51,3753.02,4768.67,4776.55,4678.26,4257.41,4510.18,4507.09,4451.76,3467.27,3855.84,4585.01,4948.35,1861.90,4496.10,4764.00,4854.76,3102.16,5079.38,3655.01,3795.14,3594.54,3854.25,5387.96,2358.90,2437.11,4290.35,2549.70,4552.40,4548.63,4223.87,1734.96,4241.89,2358.22,2215.09,4314.95,3053.76,3011.55,2914.11,3594.93,3147.49,4217.49,4316.10,4384.94
11.00,1385.01,624.50,544.05,462.26,314.27,183.61,0.00,168.43,330.41,89.52,35.59,1965.54,253.94,323.53,492.30,422.02,1837.80,3088.53,1418.54,1456.99,1136.98,995.31,766.27,690.52,461.34,1837.80,821.82,592.59,523.59,422.02,183.61,600.12,1402.37,544.05,89.52,1214.78,1099.39,968.61,2254.57,1916.98,1850.70,1782.88,1910.18,1941.46,2452.46,1825.67,564.49,1747.34,1614.80,1391.86,1289.23,888.45,1332.32,2054.91,594.45,1385.01,1918.57,2203.19,2111.94,2283.19,2037.14,1857.97,1740.58,1595.41,1136.29,895.52,1644.36,1644.36,2311.77,2311.77,2541.95,3537.80,2698.42,2629.89,2629.89,2785.98,2454.52,1434.70,2698.42,2807.07,3190.43,3138.03,2731.41,2731.41,2902.79,2742.83,2761.17,2595.52,3081.51,3097.25,3097.25,2956.48,2956.48,3189.35,3060.64,3150.19,2464.11,2089.66,1663.14,1644.36,2022.02,1985.88,1917.86,1755.83,2020.46,1863.21,2186.33,2368.53,2538.52,3192.00,2934.79,2934.79,3773.06,2945.97,2634.17,2284.28,2609.57,2510.07,2559.09,2438.97,2392.50,2473.28,2317.36,2658.37,2272.01,2188.42,2032.19,2299.09,3651.17,570.48,309.49,1540.50,727.57,1120.76,1627.40,1613.28,1974.11,397.56,1163.11,1030.73,1979.84,2312.63,1653.45,1520.12,1710.54,1766.06,453.22,1332.35,453.22,4712.55,397.56,2262.89,4715.75,2469.05,2268.45,1072.37,4115.83,1385.01,1788.37,3403.28,3362.34,1452.03,1991.96,3617.86,2037.14,727.57,2595.69,2595.52,2531.12,2876.45,2846.95,3011.04,2920.00,2697.04,2767.87,2701.18,2455.62,2371.91,2463.24,2209.84,2302.35,2159.39,1848.74,4668.80,4557.62,4078.26,4022.95,4519.98,3421.95,3997.92,3742.14,3258.11,4412.00,4257.13,4098.50,3150.19,3192.00,4519.98,3651.17,4668.80,3650.88,4677.74,4780.07,3982.12,3936.63,4952.28,4960.16,4861.87,4441.02,4693.79,4690.70,4635.37,3650.88,4039.45,4768.62,5131.96,2045.51,4679.70,4947.61,5038.36,3285.77,5262.98,3838.62,3978.74,3778.15,4037.86,5571.57,2542.51,2620.72,4473.96,2733.31,4736.01,4732.24,4407.48,1918.57,4425.49,2541.83,2398.70,4498.56,3237.37,3195.16,3097.72,3778.54,3331.10,4401.10,4499.71,4568.55
12.00,1551.35,790.84,710.39,628.60,480.61,349.94,166.34,0.00,161.98,76.82,201.92,2131.88,420.28,310.83,658.64,588.35,2004.14,3254.86,1584.87,1623.32,1303.32,1161.65,932.60,856.86,627.68,2004.14,988.15,758.93,689.92,588.35,349.94,766.46,1568.71,710.39,76.82,1381.11,1265.72,1134.95,2420.90,2083.32,2017.04,1949.22,2076.52,2107.80,2618.80,1992.01,730.82,1913.68,1781.13,1558.20,1455.57,1054.79,1498.66,2221.24,760.78,1551.35,2084.90,2369.53,2278.28,2449.53,2203.48,2024.30,1906.92,1761.75,1302.62,1061.86,1810.69,1810.69,2478.11,2478.11,2708.29,3704.13,2864.76,2796.23,2796.23,2952.31,2620.86,1601.04,2864.76,2973.41,3356.77,3304.36,2897.75,2897.75,3069.13,2909.17,2927.51,2761.86,3247.85,3263.59,3263.59,3122.81,3122.81,3355.69,3226.98,3316.53,2630.44,2256.00,1829.47,1810.69,2188.36,2152.21,2084.20,1922.16,2186.79,2029.55,2352.66,2534.86,2704.85,3358.34,3101.13,3101.13,3939.39,3112.31,2800.51,2450.62,2775.90,2676.41,2725.43,2605.31,2558.83,2639.62,2483.70,2824.71,2438.35,2354.76,2198.53,2465.43,3817.51,402.04,475.83,1706.84,893.90,1287.10,1793.74,1779.61,2140.45,229.12,1329.44,1197.07,2146.17,2478.96,1819.79,1686.46,1876.88,1932.40,619.56,1498.69,619.56,4878.89,229.12,2429.23,4882.08,2635.39,2434.78,1238.70,4282.17,1551.35,1954.71,3569.62,3528.68,1618.37,2158.29,3784.20,2203.48,893.90,2762.02,2761.86,2697.46,3042.78,3013.28,3177.37,3086.34,2863.37,2934.20,2867.51,2621.95,2538.24,2629.58,2376.17,2468.68,2325.73,2015.08,4835.14,4723.96,4244.60,4189.29,4686.31,3588.29,4164.26,3908.47,3424.45,4578.34,4423.46,4264.83,3316.53,3358.34,4686.31,3817.51,4835.14,3817.21,4844.08,4946.40,4148.46,4102.97,5118.62,5126.49,5028.20,4607.36,4860.13,4857.04,4801.70,3817.21,4205.79,4934.95,5298.29,2211.85,4846.04,5113.95,5204.70,3452.10,5429.32,4004.96,4145.08,3944.49,4204.19,5737.90,2708.84,2787.05,4640.30,2899.64,4902.34,4898.57,4573.82,2084.90,4591.83,2708.17,2565.03,4664.89,3403.70,3361.49,3264.06,3944.88,3497.44,4567.43,4666.04,4734.88
13.00,1713.33,952.82,872.37,790.57,642.58,511.92,328.31,161.98,0.00,238.80,363.90,2293.86,582.26,409.32,820.62,750.33,2166.11,3416.84,1746.85,1785.30,1465.30,1323.63,1094.58,1018.84,789.66,2166.11,1150.13,920.91,851.90,750.33,511.92,928.44,1730.69,872.37,238.80,1543.09,1427.70,1296.93,2582.88,2245.30,2179.02,2111.20,2238.50,2269.78,2780.78,2153.99,892.80,2075.66,1943.11,1720.18,1617.54,1216.77,1660.64,2383.22,922.76,1713.33,2246.88,2531.51,2440.25,2611.51,2365.45,2186.28,2068.90,1923.73,1464.60,1223.84,1972.67,1972.67,2640.09,2640.09,2870.27,3866.11,3026.74,2958.21,2958.21,3114.29,2782.84,1763.02,3026.74,3135.39,3518.74,3466.34,3059.73,3059.73,3231.11,3071.15,3089.49,2923.84,3409.83,3425.57,3425.57,3284.79,3284.79,3517.67,3388.96,3478.51,2792.42,2417.97,1991.45,1972.67,2350.34,2314.19,2246.18,2084.14,2348.77,2191.53,2514.64,2696.84,2866.83,3520.32,3263.11,3263.11,4101.37,3274.29,2962.49,2612.59,2937.88,2838.39,2887.41,2767.29,2720.81,2801.59,2645.68,2986.69,2600.32,2516.74,2360.51,2627.41,3979.49,240.07,637.81,1868.82,1055.88,1449.08,1955.72,1941.59,2302.42,67.15,1491.42,1359.05,2308.15,2640.94,1981.77,1848.43,2038.86,2094.38,781.53,1660.67,781.53,5040.86,67.15,2591.20,5044.06,2797.37,2596.76,1400.68,4444.15,1713.33,2116.69,3731.60,3690.65,1780.34,2320.27,3946.18,2365.45,1055.88,2924.00,2923.84,2859.44,3204.76,3175.26,3339.35,3248.32,3025.35,3096.18,3029.49,2783.93,2700.22,2791.56,2538.15,2630.66,2487.71,2177.06,4997.12,4885.93,4406.58,4351.27,4848.29,3750.27,4326.24,4070.45,3586.43,4740.32,4585.44,4426.81,3478.51,3520.32,4848.29,3979.49,4997.12,3979.19,5006.06,5108.38,4310.44,4264.95,5280.60,5288.47,5190.18,4769.34,5022.11,5019.02,4963.68,3979.19,4367.77,5096.93,5460.27,2373.83,5008.02,5275.93,5366.68,3614.08,5591.30,4166.94,4307.06,4106.46,4366.17,5899.88,2870.82,2949.03,4802.28,3061.62,5064.32,5060.55,4735.80,2246.88,4753.81,2870.14,2727.01,4826.87,3565.68,3523.47,3426.04,4106.86,3659.42,4729.41,4828.02,4896.86
