detid_Y,M_0011_0308,M_0015_0159,M_0032_0323,M_0037_0038,M_0037_0779_0039_U,M_0038_0037,M_0038_0191,M_0039_0038,M_0108_0478_0479,M_0191_0038,M_0191_0852,M_0308_0011,M_0323_0032,M_0821_0159,M_0821_0190,M_0852_0191
M_0011_0308,0.0,0.34641400058082,0.4683353266131329,0.2551520616846818,0.2551520616846818,0.2551520616846818,0.23355548755762204,0.34371648798002447,0.7654478907723633,0.23355548755762204,0.11105661030642275,0.0,0.4683353266131329,0.23630779603542684,0.23630779603542684,0.11105661030642275
M_0015_0159,0.42993281184069587,0.0,0.622677829033544,0.3883328869482742,0.3883328869482742,0.3883328869482742,0.30053013510857696,0.48723332706672345,0.9654628808414425,0.30053013510857696,0.27112932079173635,0.42993281184069587,0.622677829033544,0.20074710663497122,0.20074710663497122,0.27112932079173635
M_0032_0323,0.523236716543867,0.6589769109963881,0.0,0.26217955490904804,0.26217955490904804,0.26217955490904804,0.37304993121428554,0.14891318450576307,0.8594581090027856,0.37304993121428554,0.4424202204397253,0.523236716543867,0.0,0.4559011261132856,0.4559011261132856,0.4424202204397253
M_0037_0038,0.2837612385991106,0.3581347220381706,0.3646648442394214,0.0,0.0,0.0,0.10760921753451103,0.24731308070952143,0.9838631906362035,0.10760921753451103,0.1411939523342374,0.2837612385991106,0.3646648442394214,0.19141447066726489,0.19141447066726489,0.1411939523342374
M_0037_0779_0039_U,0.2837612385991106,0.3581347220381706,0.3646648442394214,0.0,0.0,0.0,0.10760921753451103,0.24731308070952143,0.9838631906362035,0.10760921753451103,0.1411939523342374,0.2837612385991106,0.3646648442394214,0.19141447066726489,0.19141447066726489,0.1411939523342374
M_0038_0037,0.2837612385991106,0.3581347220381706,0.3646648442394214,0.0,0.0,0.0,0.10760921753451103,0.24731308070952143,0.9838631906362035,0.10760921753451103,0.1411939523342374,0.2837612385991106,0.3646648442394214,0.19141447066726489,0.19141447066726489,0.1411939523342374
M_0038_0191,0.3047258917848681,0.3763431461833643,0.42865766843214304,0.20795237030466393,0.20795237030466393,0.20795237030466393,0.0,0.3068185128010951,1.0,0.0,0.15982745686421604,0.3047258917848681,0.42865766843214304,0.20742496089712287,0.20742496089712287,0.15982745686421604
M_0039_0038,0.42194488623454185,0.5004102393485794,0.1581297340395239,0.12399102643172889,0.12399102643172889,0.12399102643172889,0.23314252449791403,0.0,0.9653804354615068,0.23314252449791403,0.2867909285013561,0.42194488623454185,0.1581297340395239,0.31649658051226626,0.31649658051226626,0.2867909285013561
M_0108_0478_0479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
M_0191_0038,0.3047258917848681,0.3763431461833643,0.42865766843214304,0.20795237030466393,0.20795237030466393,0.20795237030466393,0.0,0.3068185128010951,1.0,0.0,0.15982745686421604,0.3047258917848681,0.42865766843214304,0.20742496089712287,0.20742496089712287,0.15982745686421604
M_0191_0852,0.12493102664805737,0.3006758376072473,0.4224528731704539,0.21555975457831356,0.21555975457831356,0.21555975457831356,0.13780278774942595,0.3010488186557857,0.8616091839156558,0.13780278774942595,0.0,0.12493102664805737,0.4224528731704539,0.14089925462851646,0.14089925462851646,0.0
M_0308_0011,0.0,0.34641400058082,0.4683353266131329,0.2551520616846818,0.2551520616846818,0.2551520616846818,0.23355548755762204,0.34371648798002447,0.7654478907723633,0.23355548755762204,0.11105661030642275,0.0,0.4683353266131329,0.23630779603542684,0.23630779603542684,0.11105661030642275
M_0323_0032,0.523236716543867,0.6589769109963881,0.0,0.26217955490904804,0.26217955490904804,0.26217955490904804,0.37304993121428554,0.14891318450576307,0.8594581090027856,0.37304993121428554,0.4424202204397253,0.523236716543867,0.0,0.4559011261132856,0.4559011261132856,0.4424202204397253
M_0821_0159,0.4664091661527476,0.14040899876223317,0.654678512443761,0.41594896958766303,0.41594896958766303,0.41594896958766303,0.32848723670495283,0.5169926627707772,0.9881178719098598,0.32848723670495283,0.3035547348375555,0.4664091661527476,0.654678512443761,0.0,0.0,0.3035547348375555
M_0821_0190,0.4664091661527476,0.14040899876223317,0.654678512443761,0.41594896958766303,0.41594896958766303,0.41594896958766303,0.32848723670495283,0.5169926627707772,0.9881178719098598,0.32848723670495283,0.3035547348375555,0.4664091661527476,0.654678512443761,0.0,0.0,0.3035547348375555
M_0852_0191,0.12493102664805737,0.3006758376072473,0.4224528731704539,0.21555975457831356,0.21555975457831356,0.21555975457831356,0.13780278774942595,0.3010488186557857,0.8616091839156558,0.13780278774942595,0.0,0.12493102664805737,0.4224528731704539,0.14089925462851646,0.14089925462851646,0.0
