detid_Y,PGR01_101724_G181_Hoendiep_O_ID_8648_1,PGR01_101724_G181_Hoendiep_W_ID_8649_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,PGR01_101727_Hereweg_N_ID_8611_1,PGR01_101727_Hereweg_N_ID_8611_2,PGR01_101727_Hereweg_Z_ID_8610_1,PGR01_101727_Hereweg_Z_ID_8610_2,PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101733_G185_Rijksweg_W_ID_8645_1,PGR01_101734_Damsterdiep_O_ID_8653_1,PGR01_101734_Damsterdiep_W_ID_8652_1,PGR01_101735_G506_Bedumerweg_N_ID_8791_1,PGR01_101735_G506_Bedumerweg_N_ID_8791_2,PGR01_101735_G506_Bedumerweg_Z_ID_8792_1,PGR01_101735_G506_Bedumerweg_Z_ID_8792_2,PGR01_101736_G114_Bedumerweg_N_ID_8654_1,PGR01_101736_G114_Bedumerweg_Z_ID_8655_1,PGR01_101737_JCKapteynlaan_N_ID_8722_1,PGR01_101737_JCKapteynlaan_Z_ID_8723_1,PGR01_101738_G213_PetrusCampersingel_N_ID_8656_1,PGR01_101738_G213_PetrusCampersingel_Z_ID_8657_1,PGR01_101739_Schuitendiep_Z_V1_ID_8638_1,PGR01_101741_Lopendediep_NO_ID_8724_1,PGR01_101741_Lopendediep_NO_ID_8724_2,PGR01_101742_Lopendediep_ZW_ID_8699_1,PGR01_101742_Lopendediep_ZW_ID_8699_2,PGR01_101743_Westersingel_N_ID_8641_1,PGR01_101743_Westersingel_Z_ID_8640_1,PGR01_101746_Eendrachtskade_W_ID_8725_1,PGR01_101747_Eendrachtskade_O_ID_8726_1,PGR01_101749_Stationsweg_O_ID_8702_1,PGR01_101749_Stationsweg_W_V1_ID_8703_1,PGR01_101749_Stationsweg_W_V1_ID_8703_2,PGR01_101749_Stationsweg_W_V1_ID_8703_3,PGR01_101750_Zuiderpark_O_ID_8661_1,PGR01_101750_Zuiderpark_O_ID_8661_2,PGR01_101750_Zuiderpark_W_ID_8662_1,PGR01_101751_G460_Griffeweg_O_ID_8647_1,PGR01_101751_G460_Griffeweg_W_ID_8646_1,PGR01_101752_Europaweg_NW_ID_8704_1,PGR01_101752_Europaweg_NW_ID_8704_2,PGR01_101752_Europaweg_NW_ID_8704_3,PGR01_101753_Europaweg_ZO_ID_8705_1,PGR01_101753_Europaweg_ZO_ID_8705_2,PGR01_101753_Europaweg_ZO_ID_8705_3,PGR01_101761_Sontweg_NO_ID_8812_1,PGR01_101761_Sontweg_ZW_ID_8811_1
PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,0.4026900325099709,0.4026900325099709,0.43402601332086854,0.43402601332086854,0.0,0.0,0.0,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.6195538571329912,0.6195538571329912,0.5487014937600699,0.5487014937600699,0.6622839731970435,0.6622839731970435,0.6125408827149639,0.6125408827149639,0.749461830800363,0.749461830800363,0.749461830800363,0.749461830800363,0.6885317474364874,0.6885317474364874,0.6913943018960401,0.6906812041156082,0.6161393272415603,0.6161393272415603,0.523046641634896,0.5916388714427703,0.5916388714427703,0.5274299380261855,0.5274299380261855,0.3774848111821467,0.3774848111821467,0.3012278294608708,0.3012278294608708,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.3024416308935137,0.3024416308935137,0.3024416308935137,0.5024312110291174,0.5024312110291174,0.5353451572270458,0.5353451572270458,0.5353451572270458,0.5260232484103835,0.5260232484103835,0.5260232484103835,0.5540426037163565,0.5540426037163565
PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,0.4026900325099709,0.4026900325099709,0.43402601332086854,0.43402601332086854,0.0,0.0,0.0,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.6195538571329912,0.6195538571329912,0.5487014937600699,0.5487014937600699,0.6622839731970435,0.6622839731970435,0.6125408827149639,0.6125408827149639,0.749461830800363,0.749461830800363,0.749461830800363,0.749461830800363,0.6885317474364874,0.6885317474364874,0.6913943018960401,0.6906812041156082,0.6161393272415603,0.6161393272415603,0.523046641634896,0.5916388714427703,0.5916388714427703,0.5274299380261855,0.5274299380261855,0.3774848111821467,0.3774848111821467,0.3012278294608708,0.3012278294608708,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.3024416308935137,0.3024416308935137,0.3024416308935137,0.5024312110291174,0.5024312110291174,0.5353451572270458,0.5353451572270458,0.5353451572270458,0.5260232484103835,0.5260232484103835,0.5260232484103835,0.5540426037163565,0.5540426037163565
PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,0.4026900325099709,0.4026900325099709,0.43402601332086854,0.43402601332086854,0.0,0.0,0.0,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.37708778041146657,0.6195538571329912,0.6195538571329912,0.5487014937600699,0.5487014937600699,0.6622839731970435,0.6622839731970435,0.6125408827149639,0.6125408827149639,0.749461830800363,0.749461830800363,0.749461830800363,0.749461830800363,0.6885317474364874,0.6885317474364874,0.6913943018960401,0.6906812041156082,0.6161393272415603,0.6161393272415603,0.523046641634896,0.5916388714427703,0.5916388714427703,0.5274299380261855,0.5274299380261855,0.3774848111821467,0.3774848111821467,0.3012278294608708,0.3012278294608708,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.07444266637236507,0.3024416308935137,0.3024416308935137,0.3024416308935137,0.5024312110291174,0.5024312110291174,0.5353451572270458,0.5353451572270458,0.5353451572270458,0.5260232484103835,0.5260232484103835,0.5260232484103835,0.5540426037163565,0.5540426037163565
PGR01_101727_Hereweg_N_ID_8611_1,0.596788383550625,0.596788383550625,0.6137471827953652,0.6137471827953652,0.2884282335777809,0.2884282335777809,0.2884282335777809,0.0,0.0,0.0,0.0,0.3303966481733005,0.3303966481733005,0.4676861738441792,0.4676861738441792,0.6480732565101799,0.6480732565101799,0.5962370318269737,0.5962370318269737,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.6919678572692839,0.6919678572692839,0.6844010092850595,0.6836717520446131,0.5999893153955859,0.5999893153955859,0.5125240625351739,0.6599206083038104,0.6599206083038104,0.7065439734866189,0.7065439734866189,0.6227878595348715,0.6227878595348715,0.534080685936,0.534080685936,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.21288497648330287,0.21288497648330287,0.21288497648330287,0.41311318454020757,0.41311318454020757,0.45193216069098924,0.45193216069098924,0.45193216069098924,0.44093681973447596,0.44093681973447596,0.44093681973447596,0.4739892816087301,0.4739892816087301
PGR01_101727_Hereweg_N_ID_8611_2,0.596788383550625,0.596788383550625,0.6137471827953652,0.6137471827953652,0.2884282335777809,0.2884282335777809,0.2884282335777809,0.0,0.0,0.0,0.0,0.3303966481733005,0.3303966481733005,0.4676861738441792,0.4676861738441792,0.6480732565101799,0.6480732565101799,0.5962370318269737,0.5962370318269737,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.6919678572692839,0.6919678572692839,0.6844010092850595,0.6836717520446131,0.5999893153955859,0.5999893153955859,0.5125240625351739,0.6599206083038104,0.6599206083038104,0.7065439734866189,0.7065439734866189,0.6227878595348715,0.6227878595348715,0.534080685936,0.534080685936,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.21288497648330287,0.21288497648330287,0.21288497648330287,0.41311318454020757,0.41311318454020757,0.45193216069098924,0.45193216069098924,0.45193216069098924,0.44093681973447596,0.44093681973447596,0.44093681973447596,0.4739892816087301,0.4739892816087301
PGR01_101727_Hereweg_Z_ID_8610_1,0.596788383550625,0.596788383550625,0.6137471827953652,0.6137471827953652,0.2884282335777809,0.2884282335777809,0.2884282335777809,0.0,0.0,0.0,0.0,0.3303966481733005,0.3303966481733005,0.4676861738441792,0.4676861738441792,0.6480732565101799,0.6480732565101799,0.5962370318269737,0.5962370318269737,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.6919678572692839,0.6919678572692839,0.6844010092850595,0.6836717520446131,0.5999893153955859,0.5999893153955859,0.5125240625351739,0.6599206083038104,0.6599206083038104,0.7065439734866189,0.7065439734866189,0.6227878595348715,0.6227878595348715,0.534080685936,0.534080685936,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.21288497648330287,0.21288497648330287,0.21288497648330287,0.41311318454020757,0.41311318454020757,0.45193216069098924,0.45193216069098924,0.45193216069098924,0.44093681973447596,0.44093681973447596,0.44093681973447596,0.4739892816087301,0.4739892816087301
PGR01_101727_Hereweg_Z_ID_8610_2,0.596788383550625,0.596788383550625,0.6137471827953652,0.6137471827953652,0.2884282335777809,0.2884282335777809,0.2884282335777809,0.0,0.0,0.0,0.0,0.3303966481733005,0.3303966481733005,0.4676861738441792,0.4676861738441792,0.6480732565101799,0.6480732565101799,0.5962370318269737,0.5962370318269737,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.7522257615046718,0.6919678572692839,0.6919678572692839,0.6844010092850595,0.6836717520446131,0.5999893153955859,0.5999893153955859,0.5125240625351739,0.6599206083038104,0.6599206083038104,0.7065439734866189,0.7065439734866189,0.6227878595348715,0.6227878595348715,0.534080685936,0.534080685936,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.32245337159253945,0.21288497648330287,0.21288497648330287,0.21288497648330287,0.41311318454020757,0.41311318454020757,0.45193216069098924,0.45193216069098924,0.45193216069098924,0.44093681973447596,0.44093681973447596,0.44093681973447596,0.4739892816087301,0.4739892816087301
PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,0.7739216409156416,0.7739216409156416,0.7777598907642237,0.7777598907642237,0.6306701013191911,0.6306701013191911,0.6306701013191911,0.5144982386296669,0.5144982386296669,0.5144982386296669,0.5144982386296669,0.0,0.0,0.2197902728091974,0.2197902728091974,0.4644210982345933,0.4644210982345933,0.40751655823222555,0.40751655823222555,0.70073616231259,0.70073616231259,0.70073616231259,0.70073616231259,0.7217270227854673,0.7217270227854673,0.5269339335796037,0.5258430901631143,0.41302267458875885,0.41302267458875885,0.5138776252334102,0.7455380281346611,0.7455380281346611,0.7917716255834705,0.7917716255834705,0.8183695350037724,0.8183695350037724,0.746581125702999,0.746581125702999,0.5557664716918662,0.5557664716918662,0.5557664716918662,0.5557664716918662,0.3836663104445531,0.3836663104445531,0.3836663104445531,0.1950809751339048,0.1950809751339048,0.2650760268118224,0.2650760268118224,0.2650760268118224,0.2503319767458535,0.2503319767458535,0.2503319767458535,0.22902870650713208,0.22902870650713208
PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,0.7739216409156416,0.7739216409156416,0.7777598907642237,0.7777598907642237,0.6306701013191911,0.6306701013191911,0.6306701013191911,0.5144982386296669,0.5144982386296669,0.5144982386296669,0.5144982386296669,0.0,0.0,0.2197902728091974,0.2197902728091974,0.4644210982345933,0.4644210982345933,0.40751655823222555,0.40751655823222555,0.70073616231259,0.70073616231259,0.70073616231259,0.70073616231259,0.7217270227854673,0.7217270227854673,0.5269339335796037,0.5258430901631143,0.41302267458875885,0.41302267458875885,0.5138776252334102,0.7455380281346611,0.7455380281346611,0.7917716255834705,0.7917716255834705,0.8183695350037724,0.8183695350037724,0.746581125702999,0.746581125702999,0.5557664716918662,0.5557664716918662,0.5557664716918662,0.5557664716918662,0.3836663104445531,0.3836663104445531,0.3836663104445531,0.1950809751339048,0.1950809751339048,0.2650760268118224,0.2650760268118224,0.2650760268118224,0.2503319767458535,0.2503319767458535,0.2503319767458535,0.22902870650713208,0.22902870650713208
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,0.9176400107249387,0.9176400107249387,0.9108328064207052,0.9108328064207052,0.7880531897079706,0.7880531897079706,0.7880531897079706,0.694197299668679,0.694197299668679,0.694197299668679,0.694197299668679,0.15794562489928407,0.15794562489928407,0.0,0.0,0.6023574177121033,0.6023574177121033,0.568374655647383,0.568374655647383,0.8309788035369201,0.8309788035369201,0.8309788035369201,0.8309788035369201,0.8836442587938215,0.8836442587938215,0.6826152463762855,0.6818841370777726,0.5723881949057664,0.5723881949057664,0.7118902834977908,0.9547186838783637,0.9547186838783637,1.0,1.0,1.0,1.0,0.9189949188064472,0.9189949188064472,0.7450667696722216,0.7450667696722216,0.7450667696722216,0.7450667696722216,0.5907883376502623,0.5907883376502623,0.5907883376502623,0.40165111594844327,0.40165111594844327,0.4579856268838005,0.4579856268838005,0.4579856268838005,0.4471088625601932,0.4471088625601932,0.4471088625601932,0.41117389591395065,0.41117389591395065
