detid_X,detid_Y,DISTANCE
Z1,Z48,934.954
Z1,Z41,3805.877
Z1,Z39,5154.879999999999
Z1,Z38,5154.879999999999
Z1,Z44,3599.288
Z1,Z42,3599.288
Z1,Z71,3392.927
Z1,Z72,3392.927
Z1,Z61,1449.995
Z1,Z62,1449.995
Z1,Z64,830.036
Z1,Z63,830.036
Z1,Z50,1595.834
Z1,Z51,1595.834
Z1,Z25,2979.0020000000004
Z1,Z94,2866.78
Z1,Z84,3242.202
Z1,Z85,3242.202
Z1,Z86,3242.202
Z1,Z93,2908.619
Z1,Z90,2908.619
Z1,Z91,2908.619
Z1,Z92,2908.619
Z1,Z87,2817.032
Z1,Z88,2817.032
Z1,Z89,2817.032
Z1,Z80,2909.7740000000003
Z1,Z81,2909.7740000000003
Z1,Z82,2909.7740000000003
Z1,Z83,2909.7740000000003
Z3,Z2,326.58500000000004
Z3,Z1,326.58500000000004
Z3,Z3,0.0
Z3,Z4,0.0
Z3,Z5,326.58500000000004
Z3,Z6,326.58500000000004
Z3,Z9,533.3870000000001
Z3,Z10,425.56000000000006
Z3,Z12,430.75700000000006
Z3,Z11,430.75700000000006
Z3,Z35,1593.1510000000003
Z3,Z15,1593.1510000000003
Z3,Z16,1490.939
Z3,Z17,1490.939
Z3,Z19,430.81000000000006
Z3,Z18,430.81000000000006
Z3,Z21.1,59.171
Z3,Z20,337.159
Z3,Z29,1288.1750000000002
Z3,Z45,956.323
Z3,Z53,867.431
Z3,K33.D3.1,811.8580000000001
Z3,K33.D4.1,811.8580000000001
Z3,Z54,639.201
Z3,Z55,639.201
Z3,K51D3.1,597.481
Z3,K51D3.2,597.481
Z3,K51D5.11,597.481
Z3,K51D4.11,597.481
Z3,K50D1.1,466.16100000000006
Z3,K50D2.1,466.16100000000006
Z3,K50D5.1,466.16100000000006
Z3,K50D4.1,466.16100000000006
Z3,K50D3.1,466.16100000000006
Z3,K1D3.1,167.91500000000002
Z3,K2D3.11,370.55500000000006
Z3,K20D4.11,0.0
Z3,K21D5.1,445.529
Z3,K21D4.1,445.529
Z3,K21D6.1,445.529
Z3,K21D1.1,445.529
Z3,K21D2.1,445.529
Z3,K7D5.11,2034.347
Z3,K7D5.12,2034.347
Z3,K7D3.1,1562.716
Z3,K7D6.11,1562.716
Z3,K7D11.11,1547.714
Z3,K7D2.11,1640.736
Z3,K7D8.1,1518.276
Z3,K8D3.11,1288.1750000000002
Z3,K8D4.11,1288.1750000000002
Z3,K1PIR6.12,167.91500000000002
Z3,K1PIR5.12,167.91500000000002
Z3,K1PIR5.11,167.91500000000002
Z3,K4D5.11,784.0910000000001
Z3,K4D3.1,887.3430000000001
Z3,K4RD1.12,846.2880000000001
Z3,K7D8.11,1463.077
Z3,K7D7.11,1463.077
Z3,Z13,1360.027
Z3,Z14,1360.027
Z3,K13D4.11,1139.199
Z3,K13D4.12,1139.199
Z3,K13D2.12,1392.32
Z3,K13D2.11,1392.32
Z3,K16D5.1,788.908
Z3,K16D6.1,788.908
Z3,K16D6.2,788.908
Z3,K16D1.1,770.717
Z3,K16D4.2,788.908
Z3,K16D3.1,770.717
Z3,Z47,402.222
Z3,K31D4.11,334.592
Z3,K31D5.2,369.374
Z3,K31D5.1,369.374
Z3,Z7,657.614
Z3,Z8,657.614
Z3,K17D2.11,913.121
Z3,K17D2.12,913.121
Z3,K16D2.1,770.717
Z3,Z40,4440.879999999999
Z3,Z37,4143.565999999999
Z3,Z33,4143.565999999999
Z3,Z22,2722.9490000000005
Z3,Z23,2681.041
Z3,Z24,3174.529
Z3,Z52,2518.382
Z3,Z46,768.2320000000001
Z3,Z34,768.2320000000001
Z3,Z56,783.033
Z3,Z43,783.033
Z3,Z49,662.0569999999999
Z3,Z48,662.0569999999999
Z3,Z41,4039.141999999999
Z3,Z39,5388.144999999999
Z3,Z38,5388.144999999999
Z3,Z44,3832.552999999999
Z3,Z42,3832.552999999999
Z3,Z71,3719.512
Z3,Z72,3719.512
Z3,Z61,1776.58
Z3,Z62,1776.58
Z3,Z64,1156.621
Z3,Z63,1156.621
Z3,Z50,1322.937
Z3,Z51,1322.937
Z3,Z25,2706.1050000000005
Z3,Z94,3193.365
Z3,Z84,3568.787
Z3,Z85,3568.787
Z3,Z86,3568.787
Z3,Z93,3235.204
Z3,Z90,3235.204
Z3,Z91,3235.204
