detid_Y,ess101o,ess101w,esss037n,esss037s,esss038o,esss038w,esss050n,esss050s,esss051n,esss051s,esss052n,esss052s,esss053n,esss053s,esss088n,esss088s,esss090n,esss090s,esss092n,esss092s,esss093n,esss093s,esss094n,esss094s,esss095n,esss095s,esss097o,esss097w,esss098n,esss098s,esss102n,esss102s,esss926o,esss926w,esss928o,esss928w,esss943o,esss943w
ess101o,0.0,0.26349482031425187,0.4549175439712477,0.4385675032657256,0.7027531033446638,0.7027531033446638,0.7950370824163977,0.7963827750870817,0.7902562629803837,0.7989282890396402,0.7252747252747251,0.7252747252747251,0.7655093698364096,0.7466891408896916,0.8311227604643261,0.831428414603767,0.7098881455609435,0.7098881455609435,0.7218409703691834,0.7011862736537477,0.6293319856308339,0.6293319856308339,0.7468957618379457,0.747401786693436,0.7426396331741865,0.7426396331741865,0.7621199181744155,0.7528435119229404,0.5985875085457564,0.5985875085457564,0.17695869517406992,0.1711750080347654,0.7556873231794753,0.7556873231794753,0.774046950694979,0.7800796505511091,0.6257152252548503,0.6236661029421257
ess101w,0.16247485387097782,0.0,0.6930123087688049,0.6838040482713151,0.9276869049184023,0.9276869049184023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135240047644131,0.9135240047644131,1.0,1.0,1.0,1.0,1.0,1.0,0.8422941693524758,0.8422941693524758,0.4142727224094581,0.4073379589921348,1.0,1.0,1.0,1.0,0.9286899552272784,0.9329185009230451
esss037n,0.5070680461372968,0.4809816336470329,0.0,0.08299038095355094,0.32834231628762983,0.32834231628762983,0.5314319254450062,0.5345105152480021,0.6981231197049665,0.7106061445433226,0.3993683210965615,0.3993683210965615,0.3751908815398952,0.3250415575736299,0.7023812712991175,0.7029199371172745,0.6636228436895979,0.6636228436895979,0.43160806225745996,0.472718200755922,0.30746598712089934,0.30746598712089934,0.5766254458776394,0.44074934833773394,0.5741988577518597,0.5741988577518597,0.65762944132192,0.6409601908330789,0.6897605560438844,0.6897605560438844,0.25354311675394436,0.2571637573914912,0.5913327091709043,0.5913327091709043,0.4834461447910536,0.4972375690607735,0.44906280828674777,0.44335084752326975
esss037s,0.5079891100135514,0.4819514410709873,0.02912200629750962,0.0,0.30049390598884484,0.30049390598884484,0.5325921413341456,0.5356648040514007,0.6993121491137441,0.7117443338151331,0.40092343473683484,0.40092343473683484,0.34615926764136984,0.29368197987471395,0.7033386300605011,0.7038755631367615,0.665265054813035,0.665265054813035,0.4331849354039373,0.4744096698142627,0.30907706105946503,0.30907706105946503,0.5780581711832029,0.44218131817146517,0.5756578240559693,0.5756578240559693,0.6589759885603066,0.6423592482233209,0.6911400852947879,0.6911400852947879,0.25488645977599067,0.2585005846154453,0.592715657298111,0.592715657298111,0.48472517770634305,0.4984842893051967,0.450777831179015,0.44510398781322214
esss038o,0.7187201145971669,0.70383452428732,0.3101603002449031,0.3961437820174199,0.0,0.0,0.5915047555161592,0.5941901363556774,0.8645241956102224,0.7981980348608235,0.5789288982776771,0.5789288982776771,0.32104121475054226,0.18792271348749467,0.7518791161844388,0.7523281949083007,0.9662208313754366,0.9662208313754366,0.6522866982970235,0.709780832512131,0.5329309207560421,0.5329309207560421,0.7774246445657871,0.6411492032427052,0.7783767871800051,0.7783767871800051,0.8463506186570277,0.8370407666339257,1.0,1.0,0.56268636903099,0.5648075303990173,0.7734861511411363,0.7734861511411363,0.5660550701015681,0.5616961270883482,0.7952495383603572,0.7967106027549347
esss038w,0.7187201145971669,0.70383452428732,0.3101603002449031,0.3961437820174199,0.0,0.0,0.5915047555161592,0.5941901363556774,0.8645241956102224,0.7981980348608235,0.5789288982776771,0.5789288982776771,0.32104121475054226,0.18792271348749467,0.7518791161844388,0.7523281949083007,0.9662208313754366,0.9662208313754366,0.6522866982970235,0.709780832512131,0.5329309207560421,0.5329309207560421,0.7774246445657871,0.6411492032427052,0.7783767871800051,0.7783767871800051,0.8463506186570277,0.8370407666339257,1.0,1.0,0.56268636903099,0.5648075303990173,0.7734861511411363,0.7734861511411363,0.5660550701015681,0.5616961270883482,0.7952495383603572,0.7967106027549347
esss050n,0.8528101943729645,0.845020774446217,0.6256102700295791,0.6143802492188876,0.6463069729008996,0.6463069729008996,0.0,0.006573836233788532,0.2666910659937589,0.21792295566601702,0.431259619111842,0.431259619111842,0.5274947727824459,0.5926321488543645,0.26451441889451144,0.26584558828703686,0.7263562774610157,0.7263562774610157,0.4307255706585478,0.4717676849576509,0.5531251038063105,0.5531251038063105,0.39476231129443984,0.3179732249057304,0.4086051078861534,0.4086051078861534,0.333004309745586,0.3840598251797314,0.7923910212585864,0.7923910212585864,0.7628286286607584,0.7639790129956169,0.24863897914767155,0.24863897914767155,0.11971408520849369,0.09166606993017265,0.7255280398654289,0.7198383702766553
esss050s,0.8475646067301419,0.8394975854794547,0.6332972869819662,0.6222978423688489,0.6535672031399651,0.6535672031399651,0.006617337526994699,0.0,0.259919377151723,0.21143124782812336,0.4401292716884451,0.4401292716884451,0.5350654283185979,0.6008104255580136,0.25906212680280244,0.26040316440286043,0.716989860920704,0.716989860920704,0.439706083850636,0.4814150460912845,0.5623003952944303,0.5623003952944303,0.3865907054587257,0.32612849345807005,0.40029609065788857,0.40029609065788857,0.3253242239478858,0.3760802456398108,0.7845228212390533,0.7845228212390533,0.7704904390829604,0.7716036603039211,0.2407512794309923,0.2407512794309923,0.12700910037578667,0.09876448004054135,0.715746338502011,0.7098539910406527
esss051n,0.8217069931673068,0.8122715632181609,0.799191342514551,0.7931679790993558,0.9205900580292589,0.9205900580292589,0.26161841560370586,0.25332474274999534,0.0,0.041345816482928,0.6315435764402576,0.6315435764402576,0.8145590734316389,0.9027341288136741,0.21252377534921033,0.21395045100199994,0.5455362376410291,0.5455362376410291,0.6167060304366708,0.5882420447316228,0.7534060333414005,0.7534060333414005,0.39278438963366186,0.4146216984554128,0.2779620883630785,0.2779620883630785,0.13931798772616233,0.18282048319067626,0.5211955106292933,0.5211955106292933,0.762551242196029,0.7637029719759214,0.29823745504908655,0.29823745504908655,0.3935572961470548,0.3723764250526505,0.6968507322995978,0.6905694478511767
esss051s,0.8535006531550169,0.84574777294223,0.8457845647403073,0.8411567425461604,0.8871622002291124,0.8871622002291124,0.21947246112934524,0.21145584887826588,0.04522864737835651,0.0,0.6853050935705913,0.6853050935705913,0.7785852447590781,0.8638730389689492,0.20304183474493226,0.20448567194301712,0.6023063619937121,0.6023063619937121,0.6711371833190509,0.6467174772662068,0.8090201158834333,0.8090201158834333,0.44231484455564385,0.4640531284006647,0.32832543328505925,0.32832543328505925,0.18586721217056265,0.23118701146484197,0.5688869355731354,0.5688869355731354,0.8089896990554991,0.809916182116091,0.3080914703920597,0.3080914703920597,0.3616607053923122,0.3271529793676062,0.7561404396327118,0.7510876441047752
esss052n,0.6503579126712073,0.6318531034551711,0.3353702172322763,0.31543429032403364,0.4730511371105561,0.4730511371105561,0.3325438845670752,0.3369316317631719,0.4945977087981172,0.5154939791802016,0.0,0.0,0.40260147066884894,0.4160537012676646,0.538510778393301,0.5393460365446027,0.4545485372694728,0.4545485372694728,0.16169568438384668,0.18276348123292627,0.1648847572000057,0.1648847572000057,0.33102294051020237,0.1956399787418911,0.32446851941778865,0.32446851941778865,0.42679986494806454,0.40112915074327504,0.6121874694794414,0.6121874694794414,0.4660072794133672,0.46859737642728,0.35426521191946264,0.35426521191946264,0.26419009673865473,0.28383725435112706,0.3909594515973996,0.38404616516698725
