detid_Y,K13D2.11,K13D2.12,K13D4.11,K13D4.12,K16D1.1,K16D2.1,K16D3.1,K16D4.2,K16D5.1,K16D6.1,K16D6.2,K17D2.11,K17D2.12,K1D3.1,K1PIR5.11,K1PIR5.12,K1PIR6.12,K20D4.11,K21D1.1,K21D2.1,K21D4.1,K21D5.1,K21D6.1,K2D3.11,K31D4.11,K31D5.1,K31D5.2,K33.D3.1,K33.D4.1,K4D3.1,K4D5.11,K4RD1.12,K50D1.1,K50D2.1,K50D3.1,K50D4.1,K50D5.1,K51D3.1,K51D3.2,K51D4.11,K51D5.11,K7D11.11,K7D2.11,K7D3.1,K7D5.11,K7D5.12,K7D6.11,K7D7.11,K7D8.1,K7D8.11,K8D3.11,K8D4.11,Z1,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z2,Z20,Z21.1,Z22,Z23,Z24,Z25,Z29,Z3,Z33,Z34,Z35,Z37,Z38,Z39,Z4,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z5,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z6,Z61,Z62,Z63,Z64,Z7,Z71,Z72,Z8,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z9,Z90,Z91,Z92,Z93,Z94
K16D6.2,392.65,392.65,645.77,645.77,18.19,18.19,18.19,0.00,0.00,0.00,0.00,172.53,172.53,620.99,620.99,620.99,620.99,788.91,1189.74,1189.74,1189.74,1189.74,1189.74,418.35,1077.59,1112.37,1112.37,1547.03,1547.03,661.34,558.09,620.29,919.24,919.24,919.24,919.24,919.24,1050.56,1050.56,1050.56,1050.56,871.69,778.67,802.38,1246.95,1246.95,802.38,728.64,780.68,728.64,1062.18,1062.18,779.66,363.35,426.80,426.80,831.69,831.69,932.47,700.78,700.78,1173.81,1173.81,779.66,1081.37,803.38,3459.16,3425.25,3948.36,3442.32,1062.18,788.91,4499.50,1513.69,932.47,4499.50,5744.08,5744.08,788.91,4863.40,4395.07,4209.46,1518.21,4209.46,1691.50,1513.69,1145.22,1509.71,1509.71,779.66,2067.15,2067.15,3262.59,1602.61,1092.28,1092.28,1518.21,779.66,2259.24,2259.24,1614.41,1614.41,233.22,3793.93,3793.93,233.22,5714.94,5714.94,5714.94,5714.94,3108.93,3108.93,3108.93,3125.54,3125.54,3125.54,307.39,3248.39,3248.39,3248.39,3248.39,3472.92
K17D2.11,516.86,516.86,769.98,769.98,142.40,142.40,142.40,160.59,160.59,160.59,160.59,0.00,0.00,745.21,745.21,745.21,745.21,913.12,1313.95,1313.95,1313.95,1313.95,1313.95,542.57,1201.80,1236.59,1236.59,1671.24,1671.24,785.56,682.31,744.50,1043.45,1043.45,1043.45,1043.45,1043.45,1174.77,1174.77,1174.77,1174.77,995.91,902.88,926.59,1371.16,1371.16,926.59,852.85,904.89,852.85,1186.39,1186.39,903.88,487.56,551.01,551.01,955.90,955.90,1056.68,824.99,824.99,1298.02,1298.02,903.88,1205.58,927.59,3583.37,3549.46,4072.57,3566.53,1186.39,913.12,4660.09,1637.91,1056.68,4660.09,5904.67,5904.67,913.12,5024.00,4555.67,4370.05,1642.42,4370.05,1815.71,1637.91,1269.44,1633.93,1633.93,903.88,2191.36,2191.36,3386.80,1726.82,1216.49,1216.49,1642.42,903.88,2383.46,2383.46,1738.62,1738.62,393.82,3954.52,3954.52,393.82,5875.54,5875.54,5875.54,5875.54,3269.53,3269.53,3269.53,3286.14,3286.14,3286.14,431.60,3408.98,3408.98,3408.98,3408.98,3633.51
K17D2.12,516.86,516.86,769.98,769.98,142.40,142.40,142.40,160.59,160.59,160.59,160.59,0.00,0.00,745.21,745.21,745.21,745.21,913.12,1313.95,1313.95,1313.95,1313.95,1313.95,542.57,1201.80,1236.59,1236.59,1671.24,1671.24,785.56,682.31,744.50,1043.45,1043.45,1043.45,1043.45,1043.45,1174.77,1174.77,1174.77,1174.77,995.91,902.88,926.59,1371.16,1371.16,926.59,852.85,904.89,852.85,1186.39,1186.39,903.88,487.56,551.01,551.01,955.90,955.90,1056.68,824.99,824.99,1298.02,1298.02,903.88,1205.58,927.59,3583.37,3549.46,4072.57,3566.53,1186.39,913.12,4660.09,1637.91,1056.68,4660.09,5904.67,5904.67,913.12,5024.00,4555.67,4370.05,1642.42,4370.05,1815.71,1637.91,1269.44,1633.93,1633.93,903.88,2191.36,2191.36,3386.80,1726.82,1216.49,1216.49,1642.42,903.88,2383.46,2383.46,1738.62,1738.62,393.82,3954.52,3954.52,393.82,5875.54,5875.54,5875.54,5875.54,3269.53,3269.53,3269.53,3286.14,3286.14,3286.14,431.60,3408.98,3408.98,3408.98,3408.98,3633.51
K1D3.1,988.44,988.44,1241.56,1241.56,613.98,613.98,613.98,632.17,632.17,632.17,632.17,582.26,582.26,0.00,0.00,0.00,0.00,167.92,568.75,568.75,568.75,568.75,568.75,202.64,456.60,491.38,491.38,926.04,926.04,719.43,616.18,678.37,298.25,298.25,298.25,298.25,298.25,429.57,429.57,429.57,429.57,1467.49,1374.46,1398.17,1842.74,1842.74,1398.17,1324.43,1376.47,1324.43,1120.26,1120.26,158.67,257.64,279.60,279.60,1427.48,1427.48,1425.24,1296.57,1296.57,552.82,552.82,158.67,460.38,182.39,2838.17,2804.26,3327.37,2821.32,1120.26,167.92,4060.24,892.70,1425.24,4060.24,5304.82,5304.82,167.92,4424.14,3955.82,3749.23,897.21,3749.23,1070.50,892.70,524.23,888.72,888.72,158.67,1446.15,1446.15,2641.60,981.61,471.29,471.29,897.21,158.67,1638.25,1638.25,993.42,993.42,632.35,3666.14,3666.14,632.35,5633.84,5633.84,5633.84,5633.84,3027.82,3027.82,3027.82,3044.43,3044.43,3044.43,365.47,3167.28,3167.28,3167.28,3167.28,3345.13
K1PIR5.11,988.44,988.44,1241.56,1241.56,613.98,613.98,613.98,632.17,632.17,632.17,632.17,582.26,582.26,0.00,0.00,0.00,0.00,167.92,568.75,568.75,568.75,568.75,568.75,202.64,456.60,491.38,491.38,926.04,926.04,719.43,616.18,678.37,298.25,298.25,298.25,298.25,298.25,429.57,429.57,429.57,429.57,1467.49,1374.46,1398.17,1842.74,1842.74,1398.17,1324.43,1376.47,1324.43,1120.26,1120.26,158.67,257.64,279.60,279.60,1427.48,1427.48,1425.24,1296.57,1296.57,552.82,552.82,158.67,460.38,182.39,2838.17,2804.26,3327.37,2821.32,1120.26,167.92,4060.24,892.70,1425.24,4060.24,5304.82,5304.82,167.92,4424.14,3955.82,3749.23,897.21,3749.23,1070.50,892.70,524.23,888.72,888.72,158.67,1446.15,1446.15,2641.60,981.61,471.29,471.29,897.21,158.67,1638.25,1638.25,993.42,993.42,632.35,3666.14,3666.14,632.35,5633.84,5633.84,5633.84,5633.84,3027.82,3027.82,3027.82,3044.43,3044.43,3044.43,365.47,3167.28,3167.28,3167.28,3167.28,3345.13
K1PIR5.12,988.44,988.44,1241.56,1241.56,613.98,613.98,613.98,632.17,632.17,632.17,632.17,582.26,582.26,0.00,0.00,0.00,0.00,167.92,568.75,568.75,568.75,568.75,568.75,202.64,456.60,491.38,491.38,926.04,926.04,719.43,616.18,678.37,298.25,298.25,298.25,298.25,298.25,429.57,429.57,429.57,429.57,1467.49,1374.46,1398.17,1842.74,1842.74,1398.17,1324.43,1376.47,1324.43,1120.26,1120.26,158.67,257.64,279.60,279.60,1427.48,1427.48,1425.24,1296.57,1296.57,552.82,552.82,158.67,460.38,182.39,2838.17,2804.26,3327.37,2821.32,1120.26,167.92,4060.24,892.70,1425.24,4060.24,5304.82,5304.82,167.92,4424.14,3955.82,3749.23,897.21,3749.23,1070.50,892.70,524.23,888.72,888.72,158.67,1446.15,1446.15,2641.60,981.61,471.29,471.29,897.21,158.67,1638.25,1638.25,993.42,993.42,632.35,3666.14,3666.14,632.35,5633.84,5633.84,5633.84,5633.84,3027.82,3027.82,3027.82,3044.43,3044.43,3044.43,365.47,3167.28,3167.28,3167.28,3167.28,3345.13
K1PIR6.12,988.44,988.44,1241.56,1241.56,613.98,613.98,613.98,632.17,632.17,632.17,632.17,582.26,582.26,0.00,0.00,0.00,0.00,167.92,568.75,568.75,568.75,568.75,568.75,202.64,456.60,491.38,491.38,926.04,926.04,719.43,616.18,678.37,298.25,298.25,298.25,298.25,298.25,429.57,429.57,429.57,429.57,1467.49,1374.46,1398.17,1842.74,1842.74,1398.17,1324.43,1376.47,1324.43,1120.26,1120.26,158.67,257.64,279.60,279.60,1427.48,1427.48,1425.24,1296.57,1296.57,552.82,552.82,158.67,460.38,182.39,2838.17,2804.26,3327.37,2821.32,1120.26,167.92,4060.24,892.70,1425.24,4060.24,5304.82,5304.82,167.92,4424.14,3955.82,3749.23,897.21,3749.23,1070.50,892.70,524.23,888.72,888.72,158.67,1446.15,1446.15,2641.60,981.61,471.29,471.29,897.21,158.67,1638.25,1638.25,993.42,993.42,632.35,3666.14,3666.14,632.35,5633.84,5633.84,5633.84,5633.84,3027.82,3027.82,3027.82,3044.43,3044.43,3044.43,365.47,3167.28,3167.28,3167.28,3167.28,3345.13
K20D4.11,1102.67,1102.67,1355.79,1355.79,728.21,728.21,728.21,746.40,746.40,746.40,746.40,696.49,696.49,114.23,114.23,114.23,114.23,0.00,682.97,682.97,682.97,682.97,682.97,316.87,570.83,605.61,605.61,1040.27,1040.27,833.65,730.40,792.60,412.47,412.47,412.47,412.47,412.47,543.79,543.79,543.79,543.79,1581.71,1488.69,1512.40,1956.97,1956.97,1512.40,1438.66,1490.70,1438.66,1234.49,1234.49,272.90,371.87,393.83,393.83,1541.71,1541.71,1539.46,1410.80,1410.80,667.04,667.04,272.90,574.60,296.61,2952.39,2918.48,3441.59,2935.55,1234.49,0.00,4174.47,1006.93,1539.46,4174.47,5419.05,5419.05,0.00,4538.37,4070.04,3863.45,1011.44,3863.45,1184.73,1006.93,638.46,1002.95,1002.95,272.90,1560.38,1560.38,2755.82,1095.84,585.51,585.51,1011.44,272.90,1752.48,1752.48,1107.65,1107.65,746.58,3780.36,3780.36,746.58,5748.06,5748.06,5748.06,5748.06,3142.05,3142.05,3142.05,3158.66,3158.66,3158.66,479.70,3281.51,3281.51,3281.51,3281.51,3459.36
K21D1.1,1548.20,1548.20,1801.32,1801.32,1173.74,1173.74,1173.74,1191.93,1191.93,1191.93,1191.93,1142.02,1142.02,559.76,559.76,559.76,559.76,445.53,0.00,0.00,0.00,0.00,0.00,762.40,333.06,367.84,367.84,686.18,686.18,1279.18,1175.93,1238.13,858.00,858.00,858.00,858.00,858.00,989.32,989.32,989.32,989.32,2027.24,1934.22,1957.93,2402.50,2402.50,1957.93,1884.19,1936.23,1884.19,1680.02,1680.02,718.43,817.40,839.36,839.36,1987.24,1987.24,1984.99,1856.33,1856.33,600.08,600.08,718.43,108.37,386.36,2269.42,2235.51,2758.62,2252.58,1680.02,445.53,4029.55,472.61,1984.99,4029.55,5274.13,5274.13,445.53,4393.46,3925.13,3718.54,657.35,3718.54,830.64,472.61,326.13,648.86,648.86,718.43,877.41,877.41,2072.85,741.75,1025.84,1025.84,657.35,718.43,1868.50,1868.50,1553.18,1553.18,1192.11,3829.14,3829.14,1192.11,6129.77,6129.77,6129.77,6129.77,3587.58,3587.58,3587.58,3604.19,3604.19,3604.19,925.23,3727.04,3727.04,3727.04,3727.04,3575.38
K21D2.1,1548.20,1548.20,1801.32,1801.32,1173.74,1173.74,1173.74,1191.93,1191.93,1191.93,1191.93,1142.02,1142.02,559.76,559.76,559.76,559.76,445.53,0.00,0.00,0.00,0.00,0.00,762.40,333.06,367.84,367.84,686.18,686.18,1279.18,1175.93,1238.13,858.00,858.00,858.00,858.00,858.00,989.32,989.32,989.32,989.32,2027.24,1934.22,1957.93,2402.50,2402.50,1957.93,1884.19,1936.23,1884.19,1680.02,1680.02,718.43,817.40,839.36,839.36,1987.24,1987.24,1984.99,1856.33,1856.33,600.08,600.08,718.43,108.37,386.36,2269.42,2235.51,2758.62,2252.58,1680.02,445.53,4029.55,472.61,1984.99,4029.55,5274.13,5274.13,445.53,4393.46,3925.13,3718.54,657.35,3718.54,830.64,472.61,326.13,648.86,648.86,718.43,877.41,877.41,2072.85,741.75,1025.84,1025.84,657.35,718.43,1868.50,1868.50,1553.18,1553.18,1192.11,3829.14,3829.14,1192.11,6129.77,6129.77,6129.77,6129.77,3587.58,3587.58,3587.58,3604.19,3604.19,3604.19,925.23,3727.04,3727.04,3727.04,3727.04,3575.38
