detid_Y,BP2_D1,BP2_D2,BP2_D3,BP4_D1(1),BP4_D10(3),BP4_D2(1),BP4_D3(2),BP4_D4(2),BP4_D5(2),BP4_D6(4),BP4_D8(3),BP4_D9(3),FA6_D10,FA6_D11,FA6_D14,FA6_D15,FA6_D16,FA6_D17,FA6_D18,FA6_D19,FA6_D2,FA6_D24,FA6_D25,FA6_D27,FA6_D28,FA6_D29,FA6_D3,FA6_D30,FA6_D31,FA6_D32,FA6_D33,FA6_D34,FA6_D35,FA6_D36,FA6_D37,FA6_D38,FA6_D4,FA6_D5,FA6_D6,FA6_D7,FA6_D8,FA6_D9,G3_D1(KFZ1),G3_D2(KFZ1),G3_D3(KFZ2),G3_D4(KFZ2),G3_D5(KFZ3),HB1_D1,HB1_D13,HB1_D14,HB1_D15,HB1_D16,HB1_D17,HB1_D2,HB1_D3,HB1_D4,HB1_D5,HB1_D6,HB1_D7,HB1_D8,HB4_D1(KFZ4),HB4_D2(KFZ4),MUE3_D2(KFZ),MUE3_D3(KFZ),PR1_D1,PR1_D10,PR1_D11,PR1_D2,PR1_D3,PR1_D4,PR1_D5,PR1_D6,PR1_D7,PR1_D8,PR1_D9,PR3_D1(KFZ1),PR3_D2(KFZ1),PR3_D3(KFZ2),SD_D1(KFZ1),SD_D2(KFZ2),SD_D3(KFZ3),SHO_D1(KFZ1),SHO_D2(KFZ4),STA1_D1(KFZ4),STA1_D2(KFZ4),STA1_D8(KFZ5),STA1_D9(KFZ5),STA2_D2(KFZ4),STA2_D3(KFZ4),STA2_D4(KFZ4),STA2_D5(KFZ3),STA2_D6(KFZ3),STA2_D7(KFZ3),STA2_D8(KFZ3),STA4_D1(KFZ1),STA4_D1a(KFZ1),STA4_D2(KFZ2),STA4_D2a(KFZ2),STA4_D4(KFZ4),STA4_D4a(KFZ4),STA4_D6(KFZ6),STA4_D6a(KFZ6),STA4_D8(KFZ8),STA4_D8a(KFZ8),STA4_D9(KFZ9),STA4_D9a(KFZ9),T1_D1,T1_D2,T1_D3,T1_D4,WL2_D1(KFZ1),WL2_D2(KFZ3)
G3_D3(KFZ2),0.5240233497979345,0.5240233497979345,0.5240233497979345,0.39132989567094373,0.4323164503350856,0.39132989567094373,0.39132989567094373,0.39132989567094373,0.39132989567094373,0.37204501685122776,0.4323164503350856,0.4323164503350856,0.4045709055669215,0.4045709055669215,0.49930635725996564,0.49930635725996564,0.49930635725996564,0.49930635725996564,0.49930635725996564,0.49930635725996564,0.3981138823236721,0.49930635725996564,0.49930635725996564,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.4291765746834043,0.4291765746834043,0.4291765746834043,0.4291765746834043,0.4291765746834043,0.4291765746834043,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.3981138823236721,0.4045709055669215,0.4045709055669215,0.08739286675122027,0.10639044392193008,0.0,0.1168360900983766,0.1168360900983766,0.23032987353853496,0.333511254213066,0.333511254213066,0.333511254213066,0.37180033350779607,0.37180033350779607,0.23032987353853496,0.23032987353853496,0.24522884483204074,0.24522884483204074,0.2957078265299624,0.2957078265299624,0.24522884483204074,0.12441095480050236,0.12441095480050236,0.327253058416503,0.327253058416503,0.4144805757136861,0.3528900405399758,0.3528900405399758,0.4144805757136861,0.4144805757136861,0.34011123660153003,0.34011123660153003,0.34011123660153003,0.34011123660153003,0.3528900405399758,0.3528900405399758,0.5178314513667873,0.5178314513667873,0.5178314513667873,0.5385467790999853,0.5457622705376904,0.5457622705376904,0.2779878562630999,0.2779878562630999,0.41379372979256734,0.41379372979256734,0.4214863811137103,0.4214863811137103,0.44746765281184064,0.44746765281184064,0.44746765281184064,0.44716759738257567,0.44716759738257567,0.44716759738257567,0.44716759738257567,0.5082621017506971,0.5082621017506971,0.5082621017506971,0.5082621017506971,0.4966584785744922,0.6001511528502224,0.5039101379212285,0.5039101379212285,0.510196957796926,0.510196957796926,0.5592726751311841,0.5592726751311841,0.2758823887046763,0.2758823887046763,0.2758823887046763,0.2758823887046763,0.2523885640499633,0.2523885640499633
G3_D4(KFZ2),0.41092837898518186,0.41092837898518186,0.41092837898518186,0.2969001079266099,0.3068212959964125,0.2969001079266099,0.2969001079266099,0.2969001079266099,0.2969001079266099,0.2942766008666346,0.3068212959964125,0.3068212959964125,0.5722284606746758,0.5722284606746758,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.5675884749346933,0.6017229503584629,0.6017229503584629,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5722284606746758,0.5722284606746758,0.39780064568200163,0.009347654183926225,0.3401277104247714,0.0,0.0,0.4470492324823034,0.3335069496756531,0.3335069496756531,0.3335069496756531,0.371796276235338,0.371796276235338,0.4470492324823034,0.4470492324823034,0.45775303574649384,0.45775303574649384,0.4940184314189281,0.4940184314189281,0.45775303574649384,0.37556600186650996,0.37556600186650996,0.23486744369223406,0.23486744369223406,0.579347821976501,0.535098424374138,0.535098424374138,0.579347821976501,0.579347821976501,0.5259189805442496,0.5259189805442496,0.5259189805442496,0.5259189805442496,0.535098424374138,0.535098424374138,0.6164587472517891,0.6164587472517891,0.6164587472517891,0.46652201421978823,0.47486426668824794,0.47486426668824794,0.18247585297867286,0.18247585297867286,0.32229719911359755,0.32229719911359755,0.3311912380235361,0.3311912380235361,0.36122703167734566,0.36122703167734566,0.36122703167734566,0.3608808112645175,0.3608808112645175,0.3608808112645175,0.3608808112645175,0.4315148329295607,0.4315148329295607,0.4315148329295607,0.4315148329295607,0.4180956837056966,0.5377417516385217,0.4264836427498165,0.4264836427498165,0.43374728239217786,0.43374728239217786,0.49048680648255943,0.49048680648255943,0.2758730351739523,0.2758730351739523,0.2758730351739523,0.2758730351739523,0.15590359312926624,0.15590359312926624
G3_D5(KFZ3),0.41092837898518186,0.41092837898518186,0.41092837898518186,0.2969001079266099,0.3068212959964125,0.2969001079266099,0.2969001079266099,0.2969001079266099,0.2969001079266099,0.2942766008666346,0.3068212959964125,0.3068212959964125,0.5722284606746758,0.5722284606746758,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.6017229503584629,0.5675884749346933,0.6017229503584629,0.6017229503584629,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5899058047152943,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5675884749346933,0.5722284606746758,0.5722284606746758,0.39780064568200163,0.009347654183926225,0.3401277104247714,0.0,0.0,0.4470492324823034,0.3335069496756531,0.3335069496756531,0.3335069496756531,0.371796276235338,0.371796276235338,0.4470492324823034,0.4470492324823034,0.45775303574649384,0.45775303574649384,0.4940184314189281,0.4940184314189281,0.45775303574649384,0.37556600186650996,0.37556600186650996,0.23486744369223406,0.23486744369223406,0.579347821976501,0.535098424374138,0.535098424374138,0.579347821976501,0.579347821976501,0.5259189805442496,0.5259189805442496,0.5259189805442496,0.5259189805442496,0.535098424374138,0.535098424374138,0.6164587472517891,0.6164587472517891,0.6164587472517891,0.46652201421978823,0.47486426668824794,0.47486426668824794,0.18247585297867286,0.18247585297867286,0.32229719911359755,0.32229719911359755,0.3311912380235361,0.3311912380235361,0.36122703167734566,0.36122703167734566,0.36122703167734566,0.3608808112645175,0.3608808112645175,0.3608808112645175,0.3608808112645175,0.4315148329295607,0.4315148329295607,0.4315148329295607,0.4315148329295607,0.4180956837056966,0.5377417516385217,0.4264836427498165,0.4264836427498165,0.43374728239217786,0.43374728239217786,0.49048680648255943,0.49048680648255943,0.2758730351739523,0.2758730351739523,0.2758730351739523,0.2758730351739523,0.15590359312926624,0.15590359312926624
HB1_D1,0.5773518185900314,0.5773518185900314,0.5773518185900314,0.44830315385537833,0.49149206507386833,0.44830315385537833,0.44830315385537833,0.44830315385537833,0.44830315385537833,0.42922484352431395,0.49149206507386833,0.49149206507386833,0.4411081542555646,0.4411081542555646,0.45189288474535716,0.45189288474535716,0.45189288474535716,0.45189288474535716,0.45189288474535716,0.45189288474535716,0.4350510013683294,0.45189288474535716,0.45189288474535716,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4642039484598795,0.4642039484598795,0.4642039484598795,0.4642039484598795,0.4642039484598795,0.4642039484598795,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4350510013683294,0.4411081542555646,0.4411081542555646,0.4088166339982321,0.355577433663076,0.3522038734266507,0.3494986017941439,0.3494986017941439,0.0,0.13406481772436324,0.13406481772436324,0.13406481772436324,0.18380661416556104,0.18380661416556104,0.0,0.0,0.29154378250844554,0.29154378250844554,0.33892522811837594,0.33892522811837594,0.29154378250844554,0.17914463147949722,0.17914463147949722,0.274225550116155,0.274225550116155,0.45040973842540943,0.39260249926860874,0.39260249926860874,0.45040973842540943,0.45040973842540943,0.38060391672171673,0.38060391672171673,0.38060391672171673,0.38060391672171673,0.39260249926860874,0.39260249926860874,0.4721722232948636,0.4721722232948636,0.4721722232948636,0.5725091241854362,0.5791933060517881,0.5791933060517881,0.45872642019058324,0.45872642019058324,0.4569377338612998,0.4569377338612998,0.4640683677950758,0.4640683677950758,0.4881333008042391,0.4881333008042391,0.4881333008042391,0.48785501387508995,0.48785501387508995,0.48785501387508995,0.48785501387508995,0.5444568877512151,0.5444568877512151,0.5444568877512151,0.5444568877512151,0.5337037470269428,0.6295794977265124,0.5404252539187844,0.5404252539187844,0.5462458121331466,0.5462458121331466,0.5917127845166928,0.5917127845166928,0.059184465656173565,0.059184465656173565,0.059184465656173565,0.059184465656173565,0.3096568277786745,0.3096568277786745
HB1_D13,0.669970812752582,0.669970812752582,0.669970812752582,0.5472358796018707,0.59426617504173,0.5472358796018707,0.5472358796018707,0.5472358796018707,0.5472358796018707,0.5285327395281657,0.59426617504173,0.59426617504173,0.5045647525727207,0.5045647525727207,0.5052532523598405,0.5052532523598405,0.5052532523598405,0.5052532523598405,0.5052532523598405,0.5052532523598405,0.49919532902102254,0.5052532523598405,0.5052532523598405,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.5250382495529872,0.5250382495529872,0.5250382495529872,0.5250382495529872,0.5250382495529872,0.5250382495529872,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.49919532902102254,0.5045647525727207,0.5045647525727207,0.48809043391367846,0.4419895578585755,0.43906380783423965,0.43672655956779843,0.43672655956779843,0.08202596834486597,0.0,0.0,0.0,0.05744692073306799,0.05744692073306799,0.08202596834486597,0.08202596834486597,0.3719819244512258,0.3719819244512258,0.4139836791877803,0.4139836791877803,0.3719819244512258,0.2742041408869379,0.2742041408869379,0.35648623587943806,0.35648623587943806,0.5128102345738305,0.46156225184937527,0.46156225184937527,0.5128102345738305,0.5128102345738305,0.4509301681334839,0.4509301681334839,0.4509301681334839,0.4509301681334839,0.46156225184937527,0.46156225184937527,0.5235583181260471,0.5235583181260471,0.5235583181260471,0.6314937212020689,0.6372551434392341,0.6372551434392341,0.5300373819659026,0.5300373819659026,0.5318687107203837,0.5318687107203837,0.5380109883215473,0.5380109883215473,0.5587599566849429,0.5587599566849429,0.5587599566849429,0.5585194765151256,0.5585194765151256,0.5585194765151256,0.5585194765151256,0.607312093370511,0.607312093370511,0.607312093370511,0.607312093370511,0.5980426560611378,0.680689603905195,0.6038367387720437,0.6038367387720437,0.6088541844520582,0.6088541844520582,0.6480476871656384,0.6480476871656384,0.13635577089461845,0.13635577089461845,0.13635577089461845,0.13635577089461845,0.39557224006956127,0.39557224006956127
