detid_Y,135D1_9,135D3_8,135D6_8,135Stau1,135Stau5,145D1_9,145D29_8,145D2_8,145D37_8,179D1_10,179D2_10,179D3_10,179D5_8,560D2_8,560D2_9,560SD2,560SD2_1,560SD2_4,560SD2_5,561D4_8,563D33_8,563D34_8,563D34_9,563D4_8,563D4_9,563D6_8,563D6_9,563Stau2,563Stau2_1,563Stau3,563Stau34,563Stau35,563Stau3_1,566D1_8,566D1_9,566D5_8,566D5_9,566D6_8,566D6_9,566D7_8,566D8_8,567D10_8,567D10_9,567D11_8,567D1_8,567D1_9,567D4_8,568D2_8,568D3_8,568D4_8,569D1_8,569D2_8,569D3_8,569D4_8,569D5_8,569D6_8,569D9_8,571D18_8,571D7_8,571D7_9,572D1_8,572D1_9,572D2_10,572D2_8,572D2_9,772D2_8,773D1_8,773D3_9,774D5_8,774D5_9,774D6_8,774D8_8,774D8_9,774Stau1_8_1,774Stau1_8_2,777D1_8,777D1_9
179D2_10,657.56,592.97,467.46,559.06,657.56,1154.01,1105.65,951.45,1209.79,172.36,0.00,0.00,87.93,778.41,778.41,701.80,701.80,1216.90,1216.90,486.24,615.67,615.67,615.67,881.47,881.47,507.08,507.08,507.08,507.08,881.47,301.61,351.33,881.47,1143.82,1143.82,975.09,975.09,1056.74,1056.74,1056.74,1056.74,1143.82,1143.82,1143.82,1217.28,1217.28,1214.18,1217.28,1220.95,1220.95,1337.37,1337.37,1337.37,1323.06,1323.06,1323.06,1096.97,1610.14,1547.83,1547.83,1372.69,1372.69,1187.17,1578.75,1578.75,877.52,1185.05,1097.94,1210.16,1210.16,1233.37,1025.91,1025.91,1096.29,1096.29,549.07,549.07
179D3_10,657.56,592.97,467.46,559.06,657.56,1154.01,1105.65,951.45,1209.79,172.36,0.00,0.00,87.93,778.41,778.41,701.80,701.80,1216.90,1216.90,486.24,615.67,615.67,615.67,881.47,881.47,507.08,507.08,507.08,507.08,881.47,301.61,351.33,881.47,1143.82,1143.82,975.09,975.09,1056.74,1056.74,1056.74,1056.74,1143.82,1143.82,1143.82,1217.28,1217.28,1214.18,1217.28,1220.95,1220.95,1337.37,1337.37,1337.37,1323.06,1323.06,1323.06,1096.97,1610.14,1547.83,1547.83,1372.69,1372.69,1187.17,1578.75,1578.75,877.52,1185.05,1097.94,1210.16,1210.16,1233.37,1025.91,1025.91,1096.29,1096.29,549.07,549.07
179D5_8,745.48,680.90,555.38,646.99,745.48,1066.09,1017.72,863.52,1121.87,84.43,87.93,87.93,0.00,866.34,866.34,789.72,789.72,1304.83,1304.83,574.16,703.60,703.60,703.60,969.39,969.39,595.01,595.01,595.01,595.01,969.39,389.54,439.25,969.39,1231.74,1231.74,1063.02,1063.02,1144.67,1144.67,1144.67,1144.67,1231.74,1231.74,1231.74,1305.20,1305.20,1302.11,1305.20,1308.88,1308.88,1425.30,1425.30,1425.30,1410.99,1410.99,1410.99,1184.90,1698.07,1635.76,1635.76,1460.62,1460.62,1275.10,1666.67,1666.67,789.59,1097.13,1010.01,1122.24,1122.24,1145.44,937.98,937.98,1008.36,1008.36,461.14,461.14
560D2_8,1079.37,1014.79,1042.94,980.88,1079.37,1482.20,1433.84,1279.64,1537.99,747.84,575.48,575.48,663.41,0.00,0.00,1006.92,1006.92,959.23,959.23,392.63,270.71,270.71,270.71,103.05,103.05,136.57,136.57,136.57,136.57,103.05,562.20,541.39,103.05,773.31,773.31,604.58,604.58,686.23,686.23,686.23,686.23,773.31,773.31,773.31,846.77,846.77,843.68,846.77,850.44,850.44,966.87,966.87,966.87,952.56,952.56,952.56,726.47,1239.63,1177.33,1177.33,1002.19,1002.19,816.66,1208.24,1208.24,1340.90,1468.68,1381.56,1493.79,1493.79,1516.99,1309.54,1309.54,1379.91,1379.91,744.54,744.54
560D2_9,1079.37,1014.79,1042.94,980.88,1079.37,1482.20,1433.84,1279.64,1537.99,747.84,575.48,575.48,663.41,0.00,0.00,1006.92,1006.92,959.23,959.23,392.63,270.71,270.71,270.71,103.05,103.05,136.57,136.57,136.57,136.57,103.05,562.20,541.39,103.05,773.31,773.31,604.58,604.58,686.23,686.23,686.23,686.23,773.31,773.31,773.31,846.77,846.77,843.68,846.77,850.44,850.44,966.87,966.87,966.87,952.56,952.56,952.56,726.47,1239.63,1177.33,1177.33,1002.19,1002.19,816.66,1208.24,1208.24,1340.90,1468.68,1381.56,1493.79,1493.79,1516.99,1309.54,1309.54,1379.91,1379.91,744.54,744.54
560SD2,473.54,367.84,1623.06,375.05,473.54,1828.68,1780.32,1626.11,1884.46,1327.96,1155.60,1155.60,1243.53,608.06,608.06,0.00,0.00,515.10,515.10,739.10,878.77,878.77,878.77,711.11,711.11,744.63,744.63,744.63,744.63,711.11,1170.25,616.43,711.11,1234.54,1234.54,1166.56,1166.56,1248.21,1248.21,1248.21,1248.21,1234.54,1234.54,1234.54,1408.75,1408.75,1164.17,1408.75,1412.42,1412.42,833.33,833.33,833.33,819.02,819.02,819.02,1288.45,1321.41,1292.28,1292.28,1351.70,1351.70,1191.18,1557.75,1557.75,1883.65,1973.41,1989.62,2101.84,2101.84,2125.05,1917.59,1917.59,1987.97,1987.97,1352.59,1352.59
560SD2_1,473.54,367.84,1623.06,375.05,473.54,1828.68,1780.32,1626.11,1884.46,1327.96,1155.60,1155.60,1243.53,608.06,608.06,0.00,0.00,515.10,515.10,739.10,878.77,878.77,878.77,711.11,711.11,744.63,744.63,744.63,744.63,711.11,1170.25,616.43,711.11,1234.54,1234.54,1166.56,1166.56,1248.21,1248.21,1248.21,1248.21,1234.54,1234.54,1234.54,1408.75,1408.75,1164.17,1408.75,1412.42,1412.42,833.33,833.33,833.33,819.02,819.02,819.02,1288.45,1321.41,1292.28,1292.28,1351.70,1351.70,1191.18,1557.75,1557.75,1883.65,1973.41,1989.62,2101.84,2101.84,2125.05,1917.59,1917.59,1987.97,1987.97,1352.59,1352.59
560SD2_4,636.91,531.20,1135.89,538.41,636.91,1575.15,1526.79,1372.59,1630.94,840.79,668.43,668.43,756.36,92.95,92.95,163.36,163.36,0.00,0.00,485.58,363.66,363.66,363.66,196.01,196.01,229.53,229.53,229.53,229.53,196.01,655.15,634.34,196.01,866.26,866.26,697.54,697.54,779.18,779.18,779.18,779.18,866.26,866.26,866.26,939.72,939.72,936.63,939.72,943.39,943.39,996.70,996.70,996.70,982.39,982.39,982.39,819.42,1332.59,1270.28,1270.28,1095.14,1095.14,909.61,1301.19,1301.19,1433.85,1561.63,1474.51,1586.74,1586.74,1609.95,1402.49,1402.49,1472.86,1472.86,837.49,837.49
560SD2_5,636.91,531.20,1135.89,538.41,636.91,1575.15,1526.79,1372.59,1630.94,840.79,668.43,668.43,756.36,92.95,92.95,163.36,163.36,0.00,0.00,485.58,363.66,363.66,363.66,196.01,196.01,229.53,229.53,229.53,229.53,196.01,655.15,634.34,196.01,866.26,866.26,697.54,697.54,779.18,779.18,779.18,779.18,866.26,866.26,866.26,939.72,939.72,936.63,939.72,943.39,943.39,996.70,996.70,996.70,982.39,982.39,982.39,819.42,1332.59,1270.28,1270.28,1095.14,1095.14,909.61,1301.19,1301.19,1433.85,1561.63,1474.51,1586.74,1586.74,1609.95,1402.49,1402.49,1472.86,1472.86,837.49,837.49
561D4_8,761.75,697.16,883.96,663.25,761.75,1089.58,1041.21,887.01,1145.36,588.86,416.50,416.50,504.43,650.85,650.85,689.30,689.30,1202.17,1202.17,0.00,281.90,281.90,281.90,753.91,753.91,379.52,379.52,379.52,379.52,753.91,585.07,223.77,753.91,1016.25,1016.25,847.53,847.53,929.18,929.18,929.18,929.18,1016.25,1016.25,1016.25,1089.72,1089.72,1086.62,1089.72,1093.39,1093.39,1209.81,1209.81,1209.81,1195.50,1195.50,1195.50,969.41,1482.58,1420.27,1420.27,1245.13,1245.13,1059.61,1451.19,1451.19,1144.55,1234.31,1404.43,1516.66,1516.66,1539.86,1332.41,1332.41,1402.78,1402.78,767.41,767.41
563D33_8,883.66,819.08,1005.88,785.17,883.66,1211.49,1163.13,1008.93,1267.28,710.78,538.42,538.42,626.34,772.77,772.77,811.21,811.21,1324.09,1324.09,121.92,0.00,0.00,0.00,875.82,875.82,501.44,501.44,501.44,501.44,875.82,706.98,345.68,875.82,1138.17,1138.17,969.45,969.45,1051.10,1051.10,1051.10,1051.10,1138.17,1138.17,1138.17,1211.63,1211.63,1208.54,1211.63,1215.31,1215.31,1331.73,1331.73,1331.73,1317.42,1317.42,1317.42,1091.33,1604.50,1542.19,1542.19,1367.05,1367.05,1181.53,1573.10,1573.10,1266.46,1356.23,1526.35,1638.57,1638.57,1661.78,1454.32,1454.32,1524.70,1524.70,889.32,889.32
563D34_8,883.66,819.08,1005.88,785.17,883.66,1211.49,1163.13,1008.93,1267.28,710.78,538.42,538.42,626.34,772.77,772.77,811.21,811.21,1324.09,1324.09,121.92,0.00,0.00,0.00,875.82,875.82,501.44,501.44,501.44,501.44,875.82,706.98,345.68,875.82,1138.17,1138.17,969.45,969.45,1051.10,1051.10,1051.10,1051.10,1138.17,1138.17,1138.17,1211.63,1211.63,1208.54,1211.63,1215.31,1215.31,1331.73,1331.73,1331.73,1317.42,1317.42,1317.42,1091.33,1604.50,1542.19,1542.19,1367.05,1367.05,1181.53,1573.10,1573.10,1266.46,1356.23,1526.35,1638.57,1638.57,1661.78,1454.32,1454.32,1524.70,1524.70,889.32,889.32
